# Dongsha Atoll Coral Bimonthly Stable Isotope Data from 1968-2012 CE		
#		
#----------------------------------------------------------------------- 		
#                World Data Service for Paleoclimatology, Boulder 		
#                                  and 		
#                     NOAA Paleoclimatology Program 		
#             National Centers for Environmental Information (NCEI)		
#----------------------------------------------------------------------- 		
# NOTE: Please cite original reference when using these data,		
# plus the Online Resource and date accessed.		
#		
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/south_china_sea/ren2017/ren2017.txt
#		
# Archive: Corals and Sclerosponges		
#		
# Dataset DOI: 		
#		
# Parameter_Keywords: oxygen isotope, nitrogen isotope		
#--------------------		
# Contribution_Date		
#	Date: 2017-05-19	
#--------------------		
# File_Last_Modified_Date 		
#	Date: 2017-05-19	
#--------------------		
# Title		
#	Study_Name: Dongsha Atoll Coral Bimonthly Stable Isotope Data from 1968-2012 CE
#--------------------		
# Investigators		
#	Investigators: Ren, H.; Chen, Y.-C.; Wang, X.; Wong, G.T.F.; Cohen, A.L., DeCarlo, T.M.; Weigand, M.A.; Mii, H.-S.; Sigman, D.M. 	
#--------------------		
# Description_Notes_and_Keywords		
#	Description: Nitrogen isotope change in a South China Sea coral core records increased deposition of anthropogenic atmospheric N beginning just before the 2000 CE.	
#--------------------		
# Publication 		
#	Authors: Ren, H.; Chen, Y.-C.; Wang, X.; Wong, G.T.F.; Cohen, A.L., DeCarlo, T.M.; Weigand, M.A.; Mii, H.-S.; Sigman, D.M. 	
#	Published_Date_or_Year: 2017-05-18
#	Published_Title: 21st Century Rise in Anthropogenic Nitrogen Deposition on a Remote Coral Reef	
#	Journal_Name: Science	
#	Volume: 356	
#	Issue: 6339	
#	Pages: 749-752	
#	DOI: 10.1126/science.aal3869
#	Online_Resource: http://science.sciencemag.org/content/356/6339/749	
#	Abstract: With the rapid rise in pollution-associated nitrogen inputs to the western Pacific, it has been suggested that even the open ocean has been affected. In a coral core from Dongsha Atoll, a remote coral reef ecosystem, we observe a decline in the 15N/14N of coral skeleton_bound organic matter, which signals increased deposition of anthropogenic atmospheric N on the open ocean and its incorporation into plankton and, in turn, the atoll corals. The first clear change occurred just before 2000 CE, decades later than predicted by other work. The amplitude of change suggests that, by 2010, anthropogenic atmospheric N deposition represented 20 ± 5% of the annual N input to the surface ocean in this region, which appears to be at the lower end of other estimates.	
#------------------		
# Site_Information 		
#	Site_Name: Dongsha Atoll
#	Location: 	South China Sea	
#	Country: Taiwan	
#	Northernmost_Latitude:  20.666667 	
# 	Southernmost_Latitude: 20.666667	
# 	Easternmost_Longitude: 116.833333	
# 	Westernmost_Longitude: 116.833333	
# 	Elevation: -5	
#------------------		
# Data_Collection 		
#	Collection_Name: Dongsha core 751 Ren2017	
#	Earliest_Year: 1968
#	Most_Recent_Year: 2012	
#	Time_Unit: AD	
#   Notes:
#------------------		
# Species 		
#	Species_Name: Porites sp.	
#		
#----------------		
# Variables  		
#			
## age	age, , , years CE, , , , ,N,
## d18O-por	delta 18O, Porites sp., , per mil VPDB, , corals and sclerosponges, , ,N	,
## CS-d15N-por	delta 15N, Porites sp., , per mil AIR, , corals and sclerosponges, , ,N	,
#----------------		
# Data:		
# Data line format - tab-delimited text, variable short name as header		
# Missing_Values: NA				
age	d18O-por	CS-d15N-por
1976.25	-5.143	7.19
1976.11	-4.677	7.21
1975.96	-4.917	7.36
1975.79	-5.562	7.68
1975.6	-5.759	7.5
1975.42	-5.7215	7.6
1975.23	-5.037	7.15
1975.05	-4.571	7.37
1974.87	-4.961	7.52
1974.71	-5.526	7.36
1974.55	-5.547	7.5
1974.39	-5.388	7.12
1974.23	-5.109	7.27
1974.07	-4.671	7.26
1973.91	-5.047	7.35
1973.74	-5.489	8.12
1973.57	-5.581	7.61
1973.39	-5.568	7.43
1973.23	-5.123	7.06
1973.11	-4.804	7.28
1972.98	-5.119	7.13
1972.84	-5.532	7.33
1972.68	-5.561	7.58
1972.53	-5.811	7.84
1972.37	-5.41	7.39
1972.22	-4.85	7.41
1972.06	-4.715	7.68
1971.91	-5.028	NA
1971.76	-5.443	7.78
1971.61	-5.727	8.28
1971.45	-5.586	7.94
1971.3	-5.153	7.94
1971.16	-4.853	7.49
1971.02	-4.723	7.22
1970.88	-5.111	7.91
1970.76	-5.614	8.19
1970.65	-5.721	8.04
1970.54	-5.559	8.38
1970.43	-5.547	7.54
1970.32	-5.227	8.68
1970.16	-4.471	7.03
1969.99	-4.643	7.99
1969.83	-5.265	8.44
1969.7	-5.628	8.19
1969.57	-5.673	8.18
1969.43	-5.441	7.85
1969.3	-5.139	8.37
1969.12	-4.4675	7.63
1968.95	-4.72	7.76
1968.77	-5.249	7.52
1968.6	-5.608	7.75
1968.42	-5.506	7.99
1968.25	-5.183	7.6
