# Pedra de Lume, Cape Verde Islands Coral Oxygen Isotope Data 
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/6184
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/atlantic/pedradelume2006.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2009-01-01
#--------------------
# Title
#	Study_Name: Pedra de Lume - Oxygen Isotope Data 
#--------------------
# Investigators
#       Investigators: Moses, C.S.; Swart, P.K.; Rosenheim, B. 
#--------------------
# Description_and_Notes
#	Description: Oxygen isotope data from Siderastrea radians coral SAL-4, Pedra de Lume,  Sal Island, Cape Verde Islands.  Data is monthly resolution obtained by  stable isotope mass spectrometry at the University of Miami, RSMAS  Stable Isotope Lab.  Monthly delta 18O and instrumental SST are reported. SST from National Climate Data Center (NCDC) Extended Reconstruction SST  (ERSST), version 2.
#--------------------
# Publication 
#       Authors: Moses, C.S.; Swart, P.K.; Rosenheim, B. 
#       Published_Date_or_Year: 2006
#       Published_Title: Evidence of multidecadal salinity variability in the eastern tropical North Atlantic.
#       Journal_Name: Paleoceanography
#       Volume: 21
#       Edition: 
#       Issue: PA3010
#       Pages: 
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Moses, C.S., P.K. Swart, and B.E. Rosenheim. 2006. Evidence of multidecadal salinity variability in the eastern tropical North Atlantic. Paleoceanography, Vol. 21, PA3010
#       Abstract: Ocean circulation and global climate are strongly influenced by seawater density, which is itself controlled by salinity and temperature. Although  adequate instrumental sea surface temperature (SST) records exist for most  of the surface oceans over the past 100-150 years, records of salinity  really only exist for the last 40-50 years. Here we show that longer proxy  records from corals (Siderastrea radians) in the eastern tropical North Atlantic are dominated by multidecadal variations in salinity which are  correlated with the relationship between SST and the North Atlantic  Oscillation (NAO) over the course of the 20th century. The data reveal  an increase in eastern tropical North Atlantic salinity of +0.5 practical  salinity units (psu) between about 1950 and 1990.  Rather than a monotonic  secular increase, as indicated by some instrumental records, the  preinstrumental coral proxy records presented here suggest that salinity  in the tropical North Atlantic is periodic on a decadal to multidecadal scale.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation 
#       Grant: OCE0081770
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Mary Roche Fellowship
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Pedra de Lume, Sal Island, Cape Verde Islands
#       Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Cape Verde
#	Country: Cape Verde 
#	Northernmost_Latitude: 16.77 
# 	Southernmost_Latitude: 16.77 
# 	Easternmost_Longitude: -22.88 
# 	Westernmost_Longitude: -22.88 
# 	Elevation: -3 m  
#------------------
# Data_Collection   
#	Collection_Name: 06cape01a 
#	Earliest_Year: 1928
#	Most_Recent_Year: 2002
#	Time_Unit: AD
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name: Siderastrea radians 
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##sst	sea surface temperature, , ,degrees Celsius, , Instrumental, , ERSST version 2, N
##d18O	delta 18O, Siderastrea radians, , permil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	sst	d18O
1952.29	22.3	-2.62
1952.37	22.66	-2.9
1952.46	24.41	-2.9
1952.54	24.93	-3.16
1952.62	25.91	-3.16
1952.71	26.63	-3.46
1952.79	26.41	-3.35
1952.87	25.76	-3.42
1952.95	24.9	-2.87
1953.04	23.37	-2.79
1953.12	22.57	-2.7
1953.2	22.08	-2.75
1953.29	22.91	-2.78
1953.37	23	-3.08
1953.45	23.91	-2.98
1953.54	24.93	-3.21
1953.62	26.15	-3.32
1953.7	26.89	-3.56
1953.79	26.75	-3.38
1953.87	25.93	-3.09
1953.95	24.44	-2.97
1954.04	22.85	-3.03
1954.12	21.76	-3.2
1954.2	21.57	-3.29
1954.29	21.74	-3.34
1954.37	22.93	-3.43
1954.45	23.58	-3.53
1954.54	24.47	-3.64
1954.62	25.47	-3.63
1954.7	26.14	-3.78
1954.79	26.36	-3.43
1954.87	25.72	-3.21
1954.95	24.03	-3.1
1955.04	23.11	-3.04
1955.12	22.68	-2.98
1955.2	22.48	-2.97
1955.29	23.07	-3.32
1955.37	23.45	-3.51
1955.45	24.04	-3.65
1955.54	25.25	-3.67
1955.62	26.22	-3.63
1955.7	26.84	-3.77
1955.79	26.59	-3.79
1955.87	26.05	-3.77
1955.95	24.89	-3.59
1956.04	23.42	-3.53
1956.12	22.56	-3.49
1956.2	22.22	-3.24
1956.29	22.46	-3.17
1956.37	22.73	-3.15
1956.45	23.35	-3.35
1956.54	24.39	-3.45
1956.62	25.71	-3.4
1956.7	26.3	-3.67
1956.79	26.6	-3.45
1956.87	25.41	-3.53
1956.95	24.25	-3.6
1957.04	22.27	-3.65
1957.12	21.57	-3.66
1957.2	21.93	-3.46
1957.29	21.84	-3.31
1957.37	22.18	-3.24
1957.45	23.34	-3.18
1957.54	24.63	-3.24
1957.62	25.88	-3.37
1957.7	26.96	-3.56
1957.79	26.66	-3.47
1957.87	25.91	-3.44
1957.95	24.57	-3.45
1958.04	23.09	-3.43
1958.12	23.28	-3.3
1958.2	23.64	-3.07
1958.29	23.85	-2.98
1958.37	24.14	-3.05
1958.45	24.44	-2.98
1958.54	24.91	-3.05
1958.62	25.94	-3.21
1958.7	26.74	-3.45
1958.79	26.57	-3.38
1958.87	25.69	-3.4
1958.95	24.02	-3.19
1959.04	22.85	-3.35
1959.12	22.44	-2.85
1959.2	21.81	-3
1959.29	22.09	-2.94
1959.37	22.42	-3.01
1959.45	23.07	-3.09
1959.54	24.58	-3.14
1959.62	25.67	-3.09
1959.7	26.48	-3.32
1959.79	26.25	-3.02
1959.87	25.22	-2.99
1959.95	23.35	-2.89
1960.04	22.44	-2.69
1960.12	22.2	-2.56
1960.2	22.34	-2.51
1960.29	22.6	-2.65
1960.37	22.94	-2.75
1960.45	23.79	-2.86
1960.54	24.85	-3.08
1960.62	25.92	-3.31
1960.7	26.46	-3.52
1960.79	26.38	-3.39
1960.87	25.4	-3.47
1960.95	23.71	-3.41
1961.04	22.36	-3.19
1961.12	21.82	-3.07
1961.2	22.24	-3.03
1961.29	22.78	-3.14
1961.37	23.4	-3.25
1961.45	23.84	-3.33
1961.54	24.96	-3.3
1961.62	26.28	-3.47
1961.7	26.65	-3.79
1961.79	26.5	-3.52
1961.87	25.48	-3.59
1961.95	24.56	-3.63
1962.04	23.11	-3.33
1962.12	22.44	-3.24
1962.2	22.84	-3.12
1962.29	22.91	-2.95
1962.37	23.22	-2.92
1962.45	23.79	-3.06
1962.54	24.93	-3.34
1962.62	26.07	-3.21
1962.7	26.73	-3.88
1962.79	26.53	-3.66
1962.87	25.78	-3.43
1962.95	24.6	-3.2
1963.04	23.65	-3.24
1963.12	22.98	-3.35
1963.2	22.74	-3.42
1963.29	23.03	-3.46
1963.37	23.11	-3.39
1963.45	23.79	-3.15
1963.54	24.9	-3.05
1963.62	25.82	-3.49
1963.7	26.4	-3.92
1963.79	26.37	-3.78
1963.87	25.73	-3.68
1963.95	23.88	-3.63
1964.04	22.68	-3.64
1964.12	22.56	-3.74
1964.2	22.76	-3.74
1964.29	22.37	-3.47
1964.37	23.37	-3.13
1964.45	24	-2.85
1964.54	24.79	-3.16
1964.62	25.63	-3.37
1964.7	26.05	-3.5
1964.79	26.15	-2.86
1964.87	25.3	-2.88
1964.95	23.86	-2.89
1965.04	22.06	-2.91
1965.12	21.85	-2.94
1965.2	21.97	-2.94
1965.29	22.21	-2.94
1965.37	22.72	-3
1965.45	23.32	-3.15
1965.54	24.45	-3.32
1965.62	25.65	-3.51
1965.7	26.37	-3.7
1965.79	26.2	-3.47
1965.87	25.52	-3.43
1965.95	24.16	-3.38
1966.04	22.77	-3.28
1966.12	22.89	-3.15
1966.2	22.93	-2.97
1966.29	23.21	-2.86
1966.37	23.71	-2.82
1966.45	24.15	-2.9
1966.54	25.13	-3.06
1966.62	25.92	-2.99
1966.7	26.66	-2.89
1966.79	26.33	-3.71
1966.87	25.81	-3.54
1966.95	24.12	-3.39
1967.04	23.08	-3.36
1967.12	22.11	-3.3
1967.2	22.05	-3.2
1967.29	22.53	-3.06
1967.37	22.68	-2.9
1967.45	23.48	-2.83
1967.54	24.52	-2.81
1967.62	25.59	-3
1967.7	26.28	-3.22
1967.79	26.07	-2.92
1967.87	24.88	-3.08
1967.95	23.68	-3.1
1968.04	21.98	-2.9
1968.12	21.56	-2.84
1968.2	21.66	-2.83
1968.29	21.67	-2.92
1968.37	22.02	-3.03
1968.45	22.51	-3.14
1968.54	23.9	-3.26
1968.62	25.29	-3.38
1968.7	26.04	-3.51
1968.79	26.52	-2.76
1968.87	25.54	-2.95
1968.95	24.13	-3
1969.04	23.29	-2.93
1969.12	23.27	-2.99
1969.2	23.76	-3.04
1969.29	23.5	-3.37
1969.37	23.83	-3.57
1969.45	24.08	-3.29
1969.54	25.19	-3.46
1969.62	26.21	-3.34
1969.7	26.54	-3.83
1969.79	26.3	-3.45
1969.87	25.95	-3.53
1969.95	24.39	-3.34
1970.04	23.47	-3.08
1970.12	22.8	-2.99
1970.2	23.25	-2.8
1970.29	23.19	-2.88
1970.37	23.4	-3.12
1970.45	23.82	-3.39
1970.54	24.6	-3.16
1970.62	25.66	-3.46
1970.7	26.21	-3.66
1970.79	26.25	-3.54
1970.87	25.4	-3.58
1970.95	24.08	-3.29
1971.04	22.85	-3.04
1971.12	22.14	-3.11
1971.2	21.68	-3.47
1971.29	21.73	-2.86
1971.37	22.17	-3.03
1971.45	22.6	-3.32
1971.54	24.19	-3.38
1971.62	25.43	-3.26
1971.7	26.24	-3.59
1971.79	26.45	-3.59
1971.87	25.56	-3.48
1971.95	23.78	-3.36
1972.04	22.51	-3.22
1972.12	21.87	-3.07
1972.2	21.29	-3.02
1972.29	21.93	-2.98
1972.37	22.25	-2.98
1972.45	23.21	-3.1
1972.54	24.31	-3.12
1972.62	25.4	-3.26
1972.7	26.04	-3.69
1972.79	26.43	-3.53
1972.87	25.4	-3.43
1972.95	23.43	-3.44
1973.04	22.11	-3.45
1973.12	21.63	-3.32
1973.2	21.75	-3.2
1973.29	22.41	-3.25
1973.37	23.22	-3.44
1973.45	23.84	-3.37
1973.54	25.04	-3.24
1973.62	25.71	-3.27
1973.7	26.32	-3.59
1973.79	26.14	-2.94
1973.87	25.49	-3.08
1973.95	24.29	-3.18
1974.04	22.54	-3.06
1974.12	21.47	-2.96
1974.2	21.02	-2.89
1974.29	20.91	-3
1974.37	21.6	-3.29
1974.45	22.81	-3.38
1974.54	24.37	-3.37
1974.62	25.52	-3.44
1974.7	26.06	-3.53
1974.79	26	-3.5
1974.87	25.05	-3.48
1974.95	23.61	-3.36
1975.04	22.59	-3.14
1975.12	21.92	-3.23
1975.2	21.73	-3.26
1975.29	21.91	-3.02
1975.37	21.98	-3.01
1975.45	22.88	-3.07
1975.54	24.43	-3.07
1975.62	25.68	-3.13
1975.7	26.11	-3.26
1975.79	26.09	-2.99
1975.87	25.05	-2.78
1975.95	23.92	-2.87
1976.04	22.72	-3.1
1976.12	21.88	-3.23
1976.2	21.37	-3.06
1976.29	21.81	-3.17
1976.37	21.92	-3.01
1976.45	22.99	-3.02
1976.54	24.24	-3.03
1976.62	26.09	-3.03
1976.7	27.17	-3.43
1976.79	26.75	-2.83
1976.87	25.2	-3.09
1976.95	23.7	-3.24
1977.04	22.31	-3.13
1977.12	21.6	-2.97
1977.2	22.16	-2.93
