# Northeast Breakers Coral Stable Isotope Data from 1927-1983 AD
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/19544
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/atlantic/kuhnert2005/kuhnert2005.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#
# Parameter Keywords: oxygen isotopes, carbon isotopes, trace metals
#--------------------
# Contribution_Date
#	Date: 2015-11-11
#--------------------
# Title
#	Study_Name: Northeast Breakers Coral Stable Isotope Data from 1927-1983 AD
#--------------------
# Investigators
#       Investigators: Kuhnert, H.; Crüger, T.; Pätzold, J.
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Kuhnert, H.; Crüger, T.; Pätzold, J.
#       Published_Date_or_Year: 2005
#       Published_Title: NAO signature in a Bermuda coral Sr/Ca record
#       Journal_Name: Geochemistry, Geophysics, Geosystems
#       Volume: 6
#       Edition: 
#       Issue: 4
#       Pages: 
#       DOI: 10.1029/2004GC000786
#       Online_Resource: http://onlinelibrary.wiley.com/doi/10.1029/2004GC000786/full
#       Full_Citation: 
#       Abstract: We present a 55-year-long record (1928–1982) of Sr/Ca in a Bermuda coral (Diploria strigosa), which we use to reconstruct local twentieth century climate features. The clearest climate signal emerges for the late-year Sr/Ca. Although the coral was collected in shallow water (12 m), the correlation with station data is highest for temperatures at 50 m depth (r = −0.70), suggesting that local temperatures at the collection site are not representative for the sea surface temperatures in the adjacent open ocean. The most striking feature of the coral record is the persistent and significant correlation (r = −0.50) with the North Atlantic Oscillation (NAO) index. Field correlations of fall Sr/Ca with the winter sea level pressure (SLP) show the typical spatial NAO pattern. The stable relationship with the NAO shows that Sr/Ca in Bermuda corals is a suitable tool for the reconstruction of North Atlantic climate variability.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Northeast Breakers, Bermuda
#       Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Bermuda
#	Country: Bermuda 
#	Northernmost_Latitude: 32.466667
# 	Southernmost_Latitude: 32.466667
# 	Easternmost_Longitude: -64.7
# 	Westernmost_Longitude: -64.7
# 	Elevation: -12 m
#------------------
# Data_Collection   
#	Collection_Name: 05berm01a kuhnert05
#	Earliest_Year: 1927
#	Most_Recent_Year: 1983
#	Time_Unit: years AD
#	Core_Length: 
#	Notes: {"database":"PAGES2"}{"database":"LMR_FM"}
#------------------
# Species
#	Species_Name: Diploria strigosa 
#	Common_Name: 
#------------------
# Chronology: 
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
## age_AD	age, , ,years AD, , Corals and Sclerosponges, , ,N
## d18O-d.strig	delta 18O, Diploria strigosa, , per mil PDB, , Corals and Sclerosponges, , ,N
## Sr/Ca-d.strig	Strontium/Calcium, Diploria strigosa, ,mmol/mol, ,Corals and Sclerosponges, , ,N
## d13C-d.strig	delta 13C, Diploria strigosa, , per mil PDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O	Sr/Ca-d.strig	d13C-d.strig
1967.04	-3.09	9.27	-1.35
1966.96	-3.35	9.19	-1.21
1966.88	-3.6	9.14	-1.43
1966.79	-3.35	9.12	-1.45
1966.71	-3.91	9.13	-1.7
1966.63	-3.94	9.16	-1.83
1966.54	-3.95	9.09	-1.74
1966.46	-4.13	9.12	-2.09
1966.38	-3.42	9.19	-1.37
1966.29	-3.38	9.15	-1.41
1966.21	-3.05	9.36	-1.02
1966.13	-3.17	9.15	-1.18
1966.04	-3.09	9.21	-1.43
1965.96	-3.31	9.18	-1.5
1965.88	-3.72	9.13	-1.87
1965.79	-3.81	9.15	-1.84
1965.71	-4	9.09	-2.07
1965.63	-3.93	9.12	-1.89
1965.54	-3.96	9.07	-1.76
1965.46	-3.74	9.12	-1.57
1965.38	-3.47	9.14	-1.29
1965.29	-3.2	9.18	-1.14
1965.21	-3.16	9.16	-1.24
1965.13	-3.26	9.22	-1.48
1965.04	-3.55	9.17	-1.61
1964.96	-3.84	9.16	-1.78
1964.88	-4.23	9.11	-1.87
1964.79	-4.24	9.22	-1.92
1964.71	-4.21	9.08	-1.93
1964.63	-4.21	9.11	-2.12
1964.54	-4.01	9.21	-1.92
1964.46	-3.93	9.12	-1.99
1964.38	-3.61	9.06	-1.57
1964.29	-3.39	9.14	-1.34
1964.21	-2.88	9.15	-0.6
1964.13	-3.09	9.22	-0.84
1964.04	-3.02	9.22	-1.11
1963.96	-3.46	9.19	-1.5
1963.88	-3.51	9.17	-1.83
1963.79	-3.59	9.15	-1.93
1963.71	-3.74	9.15	-1.9
1963.63	-3.81	9.12	-1.84
1963.54	-3.85	9.04	-1.75
1963.46	-3.78	9.04	-1.61
1963.38	-3.44	9.11	-1.33
1963.29	-3.16	9.08	-1.07
1963.21	-3.05	9.18	-0.61
1963.13	-3.3	9.18	-0.88
1963.04	-3.68	9.15	-1.24
1962.96	-3.97	9.12	-1.38
1962.88	-4.24	9.13	-1.65
1962.79	-4.43	9.16	-1.68
1962.71	-4.31	9.17	-1.6
1962.63	-4.14	9.11	-1.57
1962.54	-4.12	9.12	-1.57
1962.46	-3.9	9.15	-1.41
1962.38	-3.43	9.21	-1.37
1962.29	-3.24	9.26	-1.14
1962.21	-3.16	9.22	-1.14
1962.13	-3.43	9.2	-1.26
1962.04	-3.26	9.2	-1.24
1961.96	-3.59	9.13	-1.73
1961.88	-3.73	9.11	-1.6
1961.79	-3.86	9.09	-1.47
1961.71	-3.98	9.11	-1.35
1961.63	-3.93	9.2	-1.25
1961.54	-3.81	9.06	-1.35
1961.46	-3.69	9.08	-1.25
1961.38	-3.42	9.09	-0.98
1961.29	-3.1	9.1	-0.76
1961.21	-3.08	9.15	-0.65
1961.13	-3.16	9.18	-0.98
1961.04	-3.3	9.22	-1.15
1960.96	-3.42	9.23	-1.22
1960.88	-3.43	9.15	-1.29
1960.79	-3.56	9.19	-1.21
1960.71	-3.62	9.16	-1.3
1960.63	-3.64	9.11	-1.38
1960.54	-3.65	9.07	-1.28
1960.46	-3.58	9.06	-1.32
1960.38	-3.42	9.08	-1.15
1960.29	-3.28	9.11	-0.96
1960.21	-3.25	9.11	-0.95
1960.13	-3.26	9.17	-1.08
1960.04	-3.26	9.13	-1.38
1959.96	-3.36	9.16	-1.4
1959.88	-3.55	9.1	-1.8
1959.79	-3.57	9.15	-1.64
1959.71	-3.66	9.03	-1.55
1959.63	-3.84	9.03	-1.61
1959.54	-3.75	9.04	-1.38
1959.46	-3.67	9.09	-1.15
1959.38	-3.31	9.12	-0.81
1959.29	-3.19	9.11	-0.73
1959.21	-3.02	9.14	-0.43
1959.13	-3.25	9.19	-0.96
1959.04	-3.61	9.2	-1.42
1958.96	-3.82	9.12	-1.38
1958.88	-4.02	9.14	-1.85
1958.79	-4.18	9.08	-2.12
1958.71	-4.2	9.09	-2.04
1958.63	-4.1	9.11	-1.72
1958.54	-3.95	9.06	-1.41
1958.46	-3.84	9.08	-1.49
1958.38	-3.67	9.08	-1.51
1958.29	-3.26	9.11	-1.33
1958.21	-3.05	9.16	-1
1958.13	-3.08	9.14	-1.11
1958.04	-3.21	9.14	-1.12
1957.96	-3.39	9.13	-1.11
1957.88	-3.5	9.12	-1.17
1957.79	-3.5	9.11	-1.35
1957.71	-3.5	9.1	-1.62
1957.63	-3.55	9.1	-1.6
1957.54	-3.51	9.14	-1.45
1957.46	-3.47	9.14	-1.31
1957.38	-3.43	9.15	-1.18
1957.29	-3.36	9.2	-1.04
1957.21	-3.24	9.21	-0.85
1957.13	-3.33	9.36	-0.78
1957.04	-3.44	9.23	-0.94
1956.96	-3.56	9.17	-1.12
1956.88	-3.69	9.16	-1.31
1956.79	-3.81	9.13	-1.49
1956.71	-3.93	9.11	-1.67
1956.63	-4	9.11	-1.76
1956.54	-4.01	9.13	-1.74
1956.46	-3.98	9.14	-1.7
1956.38	-3.9	9.11	-1.57
1956.29	-3.6	9.12	-1.31
1956.21	-3.21	9.12	-0.98
1956.13	-3.3	9.21	-0.85
1956.04	-3.39	9.17	-1.28
1955.96	-3.75	9.18	-1.75
1955.88	-4.13	9.19	-2.01
1955.79	-4.26	9.17	-2.19
1955.71	-4.37	9.2	-2.25
1955.63	-4.44	9.17	-2.23
1955.54	-4.14	9.14	-2.12
1955.46	-3.79	9.12	-2
1955.38	-3.87	9.08	-1.98
1955.29	-3.58	9.13	-1.83
1955.21	-3.24	9.17	-1.23
1955.13	-3.29	9.12	-1.33
1955.04	-3.37	9.12	-1.49
1954.96	-3.55	9.11	-1.6
1954.88	-3.69	9.13	-1.65
1954.79	-3.69	9.2	-1.67
1954.71	-3.69	9.13	-1.68
1954.63	-3.8	9.15	-1.74
1954.54	-3.74	9.18	-1.74
1954.46	-3.6	9.2	-1.67
1954.38	-3.41	9.18	-1.5
1954.29	-3.2	9.11	-1.28
1954.21	-3.1	9.15	-1.26
1954.13	-3.21	9.18	-1.54
1954.04	-3.58	9.11	-1.97
1953.96	-3.73	9.09	-2.15
1953.88	-3.85	9.1	-2.1
1953.79	-3.96	9.17	-2.07
1953.71	-4.01	9.26	-2.35
1953.63	-3.89	9.17	-2.08
1953.54	-3.69	9.1	-1.97
1953.46	-3.35	9.14	-1.7
1953.38	-3.17	9.26	-1.45
1953.29	-3.43	9.26	-1.85
1953.21	-3.04	9.16	-0.8
1953.13	-3.56	9.15	-1.56
1953.04	-3.85	9.1	-1.96
1952.96	-3.9	9.04	-1.99
1952.88	-3.92	9.11	-2.14
1952.79	-3.82	9.11	-2.18
1952.71	-3.58	9.04	-2.11
1952.63	-3.5	9.08	-2.04
1952.54	-3.47	9.09	-2.01
1952.46	-3.47	9.1	-2.03
1952.38	-3.55	9.13	-2.16
1952.29	-3.46	9.16	-1.89
1952.21	-3.18	9.2	-1.23
1952.13	-3.41	9.22	-1.16
1952.04	-3.54	9.21	-1.33
1951.96	-3.64	9.15	-1.57
1951.88	-3.72	9.11	-1.72
1951.79	-3.75	9.13	-1.73
1951.71	-3.62	9.17	-1.66
1951.63	-3.39	9.12	-1.74
1951.54	-3.2	9.21	-1.5
1951.46	-3.14	9.26	-1.28
1951.38	-3.15	9.27	-1.13
1951.29	-3.15	9.28	-0.99
1951.21	-3.16	9.28	-0.84
1951.13	-3.17	9.25	-0.85
1951.04	-3.17	9.24	-0.89
1950.96	-3.16	9.22	-0.94
1950.88	-3.14	9.18	-0.99
1950.79	-3.47	9.16	-0.84
1950.71	-3.51	9.13	-0.69
1950.63	-3.42	9.17	-0.63
1950.54	-3.38	9.36	-0.77
1950.46	-3.34	9.32	-0.91
1950.38	-3.3	9.27	-1.05
1950.29	-3.26	9.22	-1.19
1950.21	-3.22	9.2	-1.33
1950.13	-3.49	9.14	-1.93
1950.04	-3.6	9.12	-2.07
1949.96	-3.56	9.14	-1.74
1949.88	-3.52	9.16	-1.41
1949.79	-3.52	9.16	-1.25
1949.71	-3.58	9.13	-1.25
1949.63	-3.61	9.13	-1.35
1949.54	-3.55	9.14	-1.25
1949.46	-3.4	9.16	-0.95
1949.38	-3.36	9.18	-1.18
1949.29	-3.29	9.21	-1.36
1949.21	-3.2	9.26	-1.47
1949.13	-3.3	9.24	-1.76
1949.04	-3.41	9.16	-1.95
1948.96	-3.38	9.17	-1.94
1948.88	-3.4	9.15	-1.93
1948.79	-3.69	9.1	-2.1
1948.71	-3.78	9.1	-1.95
1948.63	-3.62	9.13	-1.69
