La Parguera, Puerto Rico Coral Isotope Data and LIA SST Reconstruction
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCES WHEN USING THIS DATA!!!!!

NAME OF DATA SET: La Parguera, Puerto Rico Coral Isotope Data and 
LIA SST Reconstruction

LAST UPDATE: 9/2002 (Original Receipt by WDC Paleo)

CONTRIBUTOR: Amos Winter, Department of Marine Sciences,
University of Puerto Rico


IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2002-062

SUGGESTED DATA CITATION: Winter, A., et al., 2002, 
La Parguera, Puerto Rico Coral Isotope Data and LIA SST Reconstruction.  
IGBP PAGES/World Data Center-A for Paleoclimatology 
Data Contribution Series #2002-062.
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.

ORIGINAL REFERENCE: 
Winter, A., T. Oba, H. Ishioroshi, T. Watanabe, and J. Christy, 2000. 
Tropical sea surface temperatures: two-to-three degrees cooler 
than present during the Little Ice Age. 
Geophys. Research Letters, 27 (20):  3365-3368.


GEOGRAPHIC REGION: Puerto Rico, Caribbean Sea
PERIOD OF RECORD:  1700-1989 A.D. 


ABSTRACT:
We determined the seasonal environmental conditions during the Little Ice Age (LIA) 
by interpreting isotope proxies in the coral skeleton of Montastrea faveolata 
from the northeast Caribbean. The oxygen isotope composition was determined 
for three time intervals during the LIA (1700-1705, 1780-1785, 1810-1815), 
thought to correspond to the coldest intervals. The period 1984-1989 was used 
to represent modern calibration conditions. We determined that SSTs from the
LIA intervals are nearly 2-3C cooler than present. LIA cooling in the Caribbean 
may have resulted from regional oceanic and atmospheric circulation differences, 
especially in winter. We propose that a trough of cold air from the north Atlantic 
may have extended farther south than present, into the northern Caribbean. 
Although there are indications from Pacific corals that seasonality was greater 
during the LIA, this does not seem to be the case for the Caribbean.

DESCRIPTION:
Puerto Rico Coral Oxygen Isotope Data and LIA SST Reconstruction

Corals and modern SST data collected at the University of Puerto Rico marine station, 
La Parguera, 17 55'N, 64 00'W, Water Depth 7m.


M. faveolata colonies used in this study are situated on the southwestern shore of Puerto Rico.  
Two coral heads both located at 7m water depth adjacent to each other were used in this study.  
One was used to obtain modern isotope data (1984-1989) and the other was used to obtain isotope 
data from the Little Ice Age.   The cores were hydraulically drilled on June 2, 1994 and 
subsequently slabbed and x-rayed to reveal high density (HD) and low density (LD) banding.  
The distance between HD bands was approximately 10 mm per year.  Each LD-HD band couplet 
represents one year of growth and chronology was determined by counting number of couplets 
starting with the top layer, which represented the year 1994. Samples for isotopic analysis 
were extracted from the slabs by the method of Watanabe and Oba, 2000.  Isotope values are 
reported vs PDB, and water temperature values are in degrees C.  




DATA:

1700-1705 AD:

Distance(mm)	d180	error	d13C	error	T
3.75	-4.05	0.014	-1.17	0.019	24.51
3.85	-4.1	0.021	-1.6	0.025	25.94
3.95	-4.41	0.017	-1.6	0.014	27.53
4.05	-4.76	0.034	-1.63	0.015	24.73
4.15	-4.14	0.02	-1.67	0.012	27.04
4.25	-4.65	0.033	-1.48	0.014	25.36
4.35	-4.28	0.025	-1.34	0.013	25.28
4.65	-4.26	0.027	-1.32	0.01	24.84
6.15	-4.17	0.024	-0.5	0.024	22.82
7.55	-3.72	0.025	-0.86	0.006	22.78
8.05	-3.71	0.017	-0.45	0.016	22.66
9.05	-3.68	0.009	-0.62	0.008	24.66
9.15	-4.13	0.021	-0.57	0.012	22.79
9.25	-3.71	0.007	-0.56	0.017	23.46
9.35	-3.86	0.03	-0.38	0.007	22.15
9.45	-3.57	0.015	-0.36	0.013	21.86
9.55	-3.51	0.022	-0.58	0.01	22.38
9.65	-3.62	0.028	-0.63	0.015	23.77
9.75	-3.93	0.023	0.69	0.012	23.47
10.65	-3.86	0.021	-0.66	0.009	25.04
12.15	-4.21	0.024	-0.28	0.005	23.87
12.75	-3.95	0.021	-0.26	0.014	24.48
12.9	-4.09	0.018	-0.62	0.011	24.73
13.65	-4.14	0.024	-0.88	0.014	25.86
13.95	-4.39	0.015	-0.81	0.021	24.88
14.25	-4.18	0.018	-1.26	0.023	26.91
14.35	-4.62	0.02	-1.22	0.016	25.43
14.45	-4.3	0.019	-1.42	0.017	27.75
14.5	-4.81	0.019	-0.93	0.022	25.45
14.55	-4.3	0.025	-1.3	0.013	25.15
14.7	-4.24	0.029	-1.5	0.013	25.11
14.85	-4.23	0.018	-1.16	0.005	23.62
15.45	-3.9	0.02	-0.99	0.007	23
15.75	-3.81	0.012	-0.75	0.025	22.77
16.05	-3.71	0.022	-0.79	0.017	22.24
16.8	-3.59	0.02	-1.02	0.022	24.67
17	-4.13	0.03	-0.43	0.016	21.95
17.3	-3.53	0.012	-0.55	0.019	21.14
17.45	-3.35	0.025	-0.54	0.013	20.64
17.75	-3.24	0.024	-1.3	0.017	25.36
18.2	-4.28	0.03	-0.93	0.012	24.21
18.8	-4.03	0.021	-1.17	0.012	24.44
18.85	-4.08	0.027	-0.78	0.014	22.03		
18.95	-3.55	0.019	-1.11	0.012	24.39		
19.4	-4.02	0.025	-1.71	0.008	24.17		
19.85	-3.9	0.023	-1.15	0.017	23.65		
20.15	-3.86	0.028	-0.76	0.02	23.46		
20.75	-4.2	0.018	-0.58	0.015	24.98		
20.9	-4.32	0.009	-0.96	0.011	25.53		
21.35	-4.17	0.019	-1.19	0.014	24.86		
21.4	-4.48	0.028	-1.4	0.017	26.26		
21.6	-3.81	0.02	-1.14	0.012	23.23		
21.7		0.03	-1.41	0.008	28.25	
21.85	-4.24	0.03	-1.2	0.015	25.18		
21.95	-4	0.031	-1.11	0.017	24.09		
22.15	-4.19	0.011	-0.75	0.013	24.94		
22.35	-4.06	0.024	-1.3	0.013	24.35		
22.45	-3.83	0.02	-0.89	0.014	23.33		
22.6	-4.16	0.011	-1.14	0.006	24.79
22.65	-4.82	0.021	-1.07	0.008	27.79
22.7	-4.71	0.002	-0.97	0.022	27.28
22.85	-4.26	0.02	-1.05	0.004	25.27
23.15	-4.01	0.021	-0.93	0.007	24.11
23.6	-3.84	0.03	-0.85	0.014	23.37
23.75	-4.08	0.013	-0.78	0.018	24.46
24.05	-3.63	0.018	-0.68	0.009	22.41
24.2	-3.65	0.03	-0.71	0.009	22.48
24.35	-3.31	0.029	-0.51	0.013	20.98
24.5	-3.87	0.025	-0.83	0.008	23.5
24.65	-3.65	0.03	-0.61	0.014	22.5
25.1	-3.77	0.027	-0.84	0.012	23.03
25.25	-4.07	0.011	-0.84	0.021	24.41
25.85	-3.98	0.027	-0.94	0.011	23.98
26.15	-3.99	0.023	-0.86	0.008	24.05
26.6	-3.64	0.017	-0.73	0.019	22.45
26.851	-4.03	0.024	-0.53	0.008	24.22
