Yr	13C	18O				
1926.50	-1.50	-4.29				
1926.25	-1.31	-4.45				
1926.00	-0.88	-4.18				
1925.75	-1.79	-4.04				
1925.50	-2.26	-4.45				
1925.25	-1.31	-4.62				
1925.00	-0.94	-4.40				
1924.75	-0.55	-3.88				
1924.50	-1.36	-4.34				
1924.25	-1.32	-4.61				
1924.00	-1.04	-4.53				
1923.75	-0.43	-3.86				
1923.50	-1.15	-4.09				
1923.25	-0.90	-4.56				
1923.00	-1.15	-4.47				
1922.75	-0.61	-3.95				
1922.50	-1.15	-4.39				
1922.25	-1.44	-4.51				
1922.00	-1.07	-4.37				
1921.75	-0.53	-3.84				
1921.50	-1.06	-4.10				
1921.25	-1.19	-4.32				
1921.00	-1.03	-4.38				
1920.75	-0.66	-4.09				
1920.50	-1.03	-4.17				
1920.25	-1.00	-4.67				
1920.00	-1.16	-4.38				
1919.75	-0.75	-4.01				
1919.50	-1.07	-4.41				
1919.25	-1.16	-4.68				
1919.00	-1.07	-4.45				
1918.75	-0.85	-4.02				
1918.50	-1.49	-4.51				
1918.25	-1.04	-4.61				
1918.00	-0.87	-4.53				
1917.75	-0.62	-4.05				
1917.50	-0.96	-4.26				
1917.25	-0.70	-4.45				
1917.00	-0.71	-4.20				
1916.75	-0.93	-3.91				
1916.50	-1.31	-4.16				
1916.25	-1.04	-4.42				
1916.00	-0.60	-4.43				
1915.75	-0.56	-3.88				
1915.50	-1.20	-4.18				
1915.25	-0.70	-4.48				
1915.00	-0.77	-4.44				
1914.75	-0.73	-3.91				
1914.50	-0.88	-4.11				
1914.25	-0.80	-4.31				
1914.00	-0.59	-4.28				
1913.75	-0.32	-3.89				
1913.50	-0.88	-4.26				
1913.25	-0.87	-4.41				
1913.00	-0.59	-4.29				
1912.75	-0.29	-3.81				
1912.50	-0.47	-3.88				
1912.25	-0.66	-4.42				
1912.00	-0.37	-4.17				
1911.75	-0.48	-3.87				
1911.50	-1.03	-4.27				
1911.25	-0.95	-4.61				
1911.00	-0.69	-4.26				
1910.75	-0.62	-3.94				
1910.50	-1.27	-4.26				
1910.25	-0.96	-4.59				
1910.00	-0.53	-4.22				
1909.75	-0.97	-3.80				
1909.50	-1.83	-4.30				
1909.25	-1.82	-4.55				
1909.00	-1.47	-4.46				
1908.75	-1.28	-4.37				
1908.50	-1.55	-4.35				
1908.25	-1.59	-4.40				
1908.00	-1.44	-4.20				
1907.75	-0.12	-3.54				
1907.50	-0.54	-3.96				
1907.25	-0.95	-4.39				
1907.00	-0.47	-4.05				
1906.75	0.01	-3.71				
1906.50	-0.70	-4.05				
1906.25	-1.05	-4.37				
1906.00	-0.55	-3.87				
1905.75	-0.43	-3.61				
1905.50	-0.80	-3.94				
1905.25	-0.64	-4.07				
1905.00	-0.46	-4.01				
1904.75	-0.79	-3.77				
1904.50	-1.35	-4.05				
1904.25	-1.10	-4.33				
1904.00	-0.38	-4.06				
1903.75	-0.61	-3.70				
1903.50	-1.37	-4.30				
1903.25	-1.30	-4.46				
1903.00	-0.89	-4.27				
1902.75	0.16	-3.47				
1902.50	-1.02	-3.97				
1902.25	-1.04	-4.14				
1902.00	-0.59	-4.01				
1901.75	-0.27	-3.61				
1901.50	-1.06	-4.19				
1901.25	-1.11	-4.35				
1901.00	-0.76	-4.23				
1900.75	-0.33	-3.90				
1900.50	-0.74	-3.98				
1900.25	-0.88	-4.18				
1900.00	-0.76	-4.23				
1899.75	-0.34	-3.84				
1899.50	-0.75	-3.98				
1899.25	-0.89	-4.27				
1899.00	-0.77	-4.37				
1898.75	-0.35	-3.92				
1898.50	-1.02	-4.26				
1898.25	-1.13	-4.59				
1898.00	-0.80	-4.37				
1897.75	-0.62	-3.85				
1897.50	-1.65	-4.42				
1897.25	-0.93	-4.56
1897.00	-1.09	-4.41
1896.75	-0.27	-3.68
1896.50	-0.76	-4.09
1896.25	-1.17	-4.67
1896.00	-0.89	-4.37
1895.75	-0.61	-3.75
1895.50	-1.53	-4.63
1895.25	-1.29	-4.85
1895.00	-0.81	-4.33
1894.75	-0.78	-4.20
1894.50	-1.02	-4.78
1894.25	-1.03	-4.82
1894.00	-0.96	-4.55
1893.75	-0.96	-4.35
1893.50	-0.89	-4.68
1893.25	-1.10	-4.92
1893.00	-0.95	-4.52
1892.75	-0.94	-4.06
1892.50	-1.32	-4.55
1892.25	-1.30	-4.67
1892.00	-1.07	-4.50
1891.75	-0.77	-4.10
1891.50	-0.93	-4.18
1891.25	-1.08	-4.70
1891.00	-1.07	-4.49
1890.75	-0.45	-4.05
1890.50	-1.07	-4.52
1890.25	-0.98	-4.64
1890.00	-1.09	-4.42
1889.75	-0.81	-4.09
1889.50	-0.85	-4.27
1889.25	-0.85	-4.47
1889.00	-0.73	-4.47
1888.75	-0.39	-4.06
1888.50	-0.88	-4.31
1888.25	-1.07	-4.62
1888.00	-0.72	-4.21
1887.75	-0.70	-3.99
1887.50	-1.24	-4.70
1887.25	-1.04	-4.83
1887.00	-0.93	-4.47
1886.75	-0.68	-3.90
1886.50	-1.38	-4.22
1886.25	-1.10	-4.37
1886.00	-0.36	-4.32
1885.75	-0.05	-3.57
1885.50	-0.68	-3.60
1885.25	-0.69	-3.89
1885.00	-0.33	-4.01
1884.75	0.15	-3.53
1884.50	-0.92	-3.93
1884.25	-0.91	-4.15
1884.00	-0.30	-3.99
1883.75	-0.49	-3.72
1883.50	-1.24	-4.32
1883.25	-0.82	-4.42
1883.00	-0.28	-4.07
1882.75	-0.75	-3.89
1882.50	-1.36	-4.66
1882.25	-0.87	-4.60
1882.00	-0.60	-4.26
1881.75	-0.16	-3.58
1881.50	-0.98	-4.30
1881.25	-0.91	-4.56
1881.00	-0.37	-4.05
1880.75	-0.89	-4.04
1880.50	-1.17	-4.54
1880.25	-1.29	-4.64
1880.00	-0.87	-4.36
1879.75	-0.54	-3.89
1879.50	-1.64	-4.36
1879.25	-1.05	-4.68
1879.00	-1.54	-4.24
1878.75	-0.48	-4.00
1878.50	-1.36	-4.29
1878.25	-1.57	-4.33
1878.00	-1.14	-4.07
1877.75	-1.39	-3.79
1877.50	-1.81	-4.49
1877.25	-1.77	-4.64
1877.00	-1.33	-4.41
1876.75	-0.48	-3.89
1876.50	-1.30	-4.49
1876.25	-1.41	-4.59
1876.00	-1.00	-4.24
1875.75	-1.81	-3.72
1875.50	-1.38	-4.14
1875.25	-0.54	-4.18
1875.00	-0.01	-4.00
1874.75	-0.55	-3.77
1874.50	-1.11	-4.03
1874.25	-0.81	-4.39
1874.00	-0.23	-4.13
1873.75	0.14	-3.58
1873.50	-0.72	-4.21
1873.25	-1.08	-4.37
1873.00	-0.23	-4.34
1872.75	-0.12	-3.87
1872.50	-0.60	-4.17
1872.25	-0.73	-4.41
1872.00	-0.49	-4.37
1871.75	0.12	-3.83
1871.50	-0.66	-4.08
1871.25	-0.69	-4.32
1871.00	-0.29	-3.94
1870.75	-0.67	-3.79
1870.50	-0.77	-4.22
1870.25	-0.70	-4.32
1870.00	-0.49	-4.12
1869.75	-0.15	-3.67
1869.50	-0.71	-4.27
1869.25	-0.82	-4.66
1869.00	-0.44	-4.31
1868.75	-0.15	-3.68
1868.50	-0.52	-4.18
1868.25	-0.68	-4.39
1868.00	-0.65	-4.33
1867.75	-0.43	-4.02
1867.50	-1.02	-4.16
1867.25	-0.85	-4.65
1867.00	-0.37	-4.48
1866.75	-0.04	-4.08
1866.50	-0.50	-4.31
1866.25	-0.60	-4.61
1866.00	-0.63	-4.45
1865.75	-0.65	-4.24
1865.50	-1.17	-4.52
1865.25	-1.21	-4.81
1865.00	-0.63	-4.42
1864.75	-0.70	-3.99
1864.50	-1.01	-4.39
1864.25	-0.97	-4.57
1864.00	-0.69	-4.53
1863.75	-0.26	-4.23
1863.50	-0.59	-4.27
1863.25	-1.01	-4.67
1863.00	-1.01	-4.64
1862.75	-0.26	-4.14
1862.50	-0.83	-4.32
1862.25	-0.80	-4.58
1862.00	-0.64	-4.42
1861.75	-0.47	-3.94
1861.50	-0.94	-4.38
1861.25	-0.77	-4.59
1861.00	-0.56	-4.37
1860.75	-0.59	-3.96
1860.50	-1.04	-4.54
1860.25	-0.55	-4.60
1860.00	-0.18	-4.30
1859.75	-0.27	-4.03
1859.50	-0.68	-4.53
1859.25	-0.67	-4.59
1859.00	-0.72	-4.46
1858.75	-0.53	-3.81
1858.50	-0.83	-4.28
1858.25	-0.99	-4.45
1858.00	-0.50	-3.90
1857.75	-0.54	-3.83
1857.50	-0.91	-4.25
1857.25	-0.86	-4.52
1857.00	-0.40	-4.09
1856.75	-0.76	-3.86
1856.50	-0.77	-4.20
1856.25	-0.86	-4.38
1856.00	-0.87	-4.33
1855.75	-0.64	-3.94
1855.50	-1.22	-4.24
1855.25	-0.51	-4.54
1855.00	-0.74	-4.41
1854.75	-0.45	-3.90
1854.50	-0.71	-4.11
1854.25	-0.13	-4.45
1854.00	0.02	-4.20
1853.75	-0.15	-3.94
1853.50	-1.02	-4.40
1853.25	-0.75	-4.75
1853.00	-0.16	-4.60
1852.75	-0.12	-3.87
1852.50	-0.58	-4.36
1852.25	-0.68	-4.61
1852.00	-0.67	-4.29
1851.75	-1.07	-4.16
1851.50	-1.11	-4.49
1851.25	-0.66	-4.54
1851.00	-0.79	-4.47
1850.75	-0.32	-4.01
1850.50	-0.91	-4.37
1850.25	-0.58	-4.44
1850.00	-0.40	-4.02
1849.75	-0.69	-3.97
1849.50	-1.11	-4.52
1849.25	-0.96	-4.74
1849.00	-0.48	-4.24
1848.75	-0.26	-3.80
1848.50	-1.15	-4.41
1848.25	-0.97	-4.58
1848.00	-0.77	-4.26
1847.75	-0.62	-3.89
1847.50	-0.67	-4.18
1847.25	-0.97	-4.48
1847.00	-0.82	-4.40
1846.75	-0.04	-3.87
1846.50	-0.92	-4.19
1846.25	-1.25	-4.53
1846.00	-0.89	-4.24
1845.75	-0.19	-3.93
1845.50	-0.71	-4.10
1845.25	-0.92	-4.43
1845.00	-0.37	-4.19
1844.75	-0.45	-4.01
1844.50	-0.57	-4.33
1844.25	-0.81	-4.44
1844.00	-0.44	-4.30
1843.75	-0.10	-3.61
1843.50	-0.57	-3.98
1843.25	-0.57	-4.37
1843.00	-0.71	-4.33
1842.75	-0.16	-3.74
1842.50	-0.82	-4.15
1842.25	-0.63	-4.49
1842.00	-0.09	-4.08
1841.75	-0.79	-3.96
1841.50	-0.89	-4.42
1841.25	-0.74	-4.45
1841.00	-0.40	-4.16
1840.75	0.11	-3.58
1840.50	-0.60	-3.94
1840.25	-0.61	-4.51
1840.00	-0.56	-4.02
1839.75	-0.28	-3.69
1839.50	-0.66	-4.23
1839.25	-0.53	-4.21
1839.00	-0.32	-4.11
1838.75	-0.50	-3.62
1838.50	-1.48	-4.28
1838.25	-0.99	-4.40
1838.00	-0.71	-4.18
1837.75	0.14	-3.50
1837.50	-0.59	-3.74
1837.25	-0.64	-4.17
1837.00	-0.05	-3.99
1836.75	0.21	-3.29
1836.50	-0.55	-4.25
1836.25	-0.20	-4.14
1836.00	0.36	-3.70
1835.75	-0.43	-3.65
1835.50	-0.55	-4.39
1835.25	-0.40	-4.32
1835.00	0.04	-4.14
1834.75	-0.29	-3.79
1834.50	-1.30	-4.44
1834.25	-0.83	-4.53
1834.00	-0.26	-4.21
1833.75	-0.66	-3.95
1833.50	-0.90	-4.31
1833.25	-0.44	-4.50
1833.00	-0.17	-4.09
1832.75	-0.29	-4.02
1832.50	-0.50	-4.35
1832.25	-0.48	-4.37
1832.00	-0.43	-4.21
1831.75	-0.55	-3.95
1831.50	-0.57	-4.41
1831.25	-0.52	-4.67
1831.00	-0.92	-4.43
1830.75	-0.37	-3.88
1830.50	-0.95	-4.42
1830.25	-0.75	-4.61
1830.00	-0.50	-4.45
1829.75	-0.47	-3.94
1829.50	-0.72	-4.21
1829.25	-0.67	-4.61
1829.00	-0.20	-4.45
1828.75	-0.13	-3.87
1828.50	-0.57	-4.22
1828.25	-0.51	-4.43
1828.00	-0.46	-4.06
1827.75	-0.97	-3.88
1827.50	-0.68	-4.41
1827.25	-0.72	-4.61
1827.00	-0.59	-4.14
1826.75	-1.07	-3.89
1826.50	-0.73	-3.94
1826.25	-0.76	-4.10
1826.00	-0.42	-4.26
1825.75	0.45	-3.70
1825.50	-0.13	-4.16
1825.25	-0.08	-4.32
1825.00	0.14	-4.22
1824.75	0.11	-3.89
1824.50	-0.18	-4.27
1824.25	0.11	-4.27
1824.00	0.37	-4.08
1823.75	0.01	-3.88
1823.50	-0.14	-4.22
1823.25	-0.29	-4.56
1823.00	0.00	-4.20
1822.75	0.30	-3.85
1822.50	-0.10	-4.05
1822.25	-0.10	-4.16
1822.00	0.10	-4.07
1821.75	0.31	-3.70
1821.50	0.10	-3.98
1821.25	-0.11	-4.26
1821.00	-0.09	-4.01
1820.75	-0.06	-3.77
1820.50	-0.58	-4.10
1820.25	-0.62	-4.24
1820.00	-0.28	-4.07
1819.75	0.37	-3.47
1819.50	-0.21	-3.89
1819.25	-0.31	-4.14
1819.00	-0.08	-4.08
1818.75	0.34	-3.50
1818.50	-0.16	-3.97
1818.25	-0.16	-4.20
1818.00	0.05	-4.11
1817.75	0.21	-3.62
1817.50	-0.27	-3.98
1817.25	-0.28	-4.22
1817.00	-0.04	-4.17
1816.75	0.26	-3.62
1816.50	-0.66	-3.99
1816.25	-0.64	-4.16
1816.00	-0.23	-4.07
1815.75	0.07	-3.65
1815.50	-0.01	-4.03
1815.25	-0.17	-4.20
1815.00	-0.15	-4.10
1814.75	0.33	-3.60
1814.50	0.16	-3.65
1814.25	0.04	-3.91
1814.00	0.12	-4.03
1813.75	0.62	-3.65
1813.50	-0.29	-4.32
1813.25	-0.60	-4.47
1813.00	0.12	-3.92
1812.75	-0.35	-3.89
1812.50	-0.75	-4.53
1812.25	-0.61	-4.50
1812.00	-0.33	-4.38
1811.75	-0.12	-3.67
1811.50	-0.75	-4.44
1811.25	-0.53	-4.26
1811.00	0.18	-4.16
1810.75	-0.09	-3.88
1810.50	-0.42	-4.24
1810.25	-0.44	-4.32
1810.00	-0.27	-4.15
1809.75	-0.04	-3.67
1809.50	-0.63	-4.12
1809.25	-0.62	-4.28
1809.00	-0.32	-4.15
1808.75	-0.01	-3.69
1808.50	-0.24	-4.03
1808.25	-0.47	-4.37
1808.00	-0.30	-4.22
1807.75	-0.13	-4.08
1807.50	-0.65	-4.40
1807.25	-0.47	-4.39
1807.00	-0.40	-4.50
1806.75	-0.71	-4.50
1806.50	-1.10	-4.58
1806.25	-1.07	-4.64
1806.00	-1.01	-4.47
1805.75	-0.64	-3.87
1805.50	-0.62	-4.51
1805.25	-0.49	-4.49
1805.00	-0.35	-4.22
1804.75	-0.35	-4.06
1804.50	-0.29	-4.49
1804.25	-0.13	-4.46
1804.00	0.04	-4.17
1803.75	0.14	-3.81
1803.50	-0.34	-4.38
1803.25	-0.35	-4.64
1803.00	-0.14	-4.55
1802.75	0.09	-3.99
1802.50	-0.52	-4.27
1802.25	-0.32	-4.52
1802.00	-0.20	-4.55
1801.75	-0.86	-4.34
1801.50	-0.52	-4.53
1801.25	-0.18	-4.49
1801.00	-0.09	-4.31
1800.75	-0.54	-4.08
1800.50	-0.51	-4.42
1800.25	-0.43	-4.34
1800.00	-0.28	-4.14
1799.75	-0.04	-4.11
1799.50	-0.47	-4.14
1799.25	-0.44	-4.66
1799.00	-0.40	-4.50
1798.75	0.00	-3.91
1798.50	-0.41	-4.27
1798.25	-0.49	-4.60
1798.00	-0.41	-4.66
1797.75	-0.30	-4.17
1797.50	-0.54	-4.37
1797.25	-0.80	-4.28
1797.00	-0.45	-4.15
1796.75	-0.15	-3.86
1796.50	-0.62	-4.17
1796.25	-0.54	-4.31
1796.00	-0.35	-4.29
1795.75	-0.21	-3.79
1795.50	-0.33	-4.10
1795.25	-0.58	-4.41
1795.00	-0.64	-4.46
1794.75	-0.16	-3.94
1794.50	-0.53	-4.11
1794.25	-0.79	-4.49
1794.00	-0.41	-4.36
1793.75	-0.29	-3.75
1793.50	-0.45	-4.38
1793.25	-0.46	-4.53
1793.00	-0.37	-4.35
1792.75	-0.22	-3.93
1792.50	-1.15	-4.15
1792.25	-0.95	-4.35
1792.00	-0.72	-4.27
1791.75	-0.40	-3.86
1791.50	-1.28	-4.47
1791.25	-1.41	-4.96
1791.00	-0.57	-4.06
1790.75	-0.01	-3.49
1790.50	-0.70	-4.00
1790.25	-1.01	-4.29
1790.00	-0.40	-4.30
1789.75	0.10	-3.62
1789.50	-0.31	-3.72
1789.25	-0.70	-4.09
1789.00	-0.45	-4.42
1788.75	-1.10	-4.30
1788.50	-0.48	-4.56
1788.25	-0.73	-4.55
1788.00	-0.49	-4.31
1787.75	-0.10	-3.81
1787.50	-0.70	-4.20
1787.25	-0.73	-4.47
1787.00	-0.37	-4.27
1786.75	0.03	-3.76
1786.50	-0.40	-4.20
1786.25	-0.41	-4.45
1786.00	-0.24	-4.25
1785.75	0.03	-3.71
1785.50	-0.51	-4.19
1785.25	-0.33	-4.17
1785.00	-0.35	-4.41
1784.75	0.22	-3.97
1784.50	-0.52	-4.24
1784.25	-0.51	-4.60
1784.00	0.09	-4.26
1783.75	-0.09	-4.08
1783.50	-0.09	-4.67
1783.25	-0.72	-5.01
1783.00	-0.41	-4.52
1782.75	-0.20	-3.91
1782.50	-0.64	-4.32
1782.25	-0.64	-4.62
1782.00	-0.04	-4.20
1781.75	0.24	-3.55
1781.50	-0.76	-4.26
1781.25	-0.65	-4.66
1781.00	-0.32	-4.40
1780.75	-0.04	-3.84
1780.50	-0.98	-4.26
1780.25	-1.00	-4.61
1780.00	-0.41	-4.53
1779.75	0.23	-3.49
1779.50	-0.57	-4.39
1779.25	-0.19	-4.42
1779.00	-0.35	-4.40
1778.75	-0.19	-3.62
