# Yongxing Island, northern South China Sea coral d18O Data 1851-2008 CE
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/28430
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/coral/south_china_sea/han2019/han2019-d18o.txt
#       Description: NOAA Location of this template
#
# Original_Source_URL: 
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Data_Type: coral
#
# Dataset_DOI:
#
# Parameter_Keywords: oxygen isotopes
#--------------------
# Contribution_Date
#	Date:  2019-12-02
#--------------------
# File_Last_Modified_Date
#	Date:  2019-12-02
#--------------------
# Title
#	Study_Name: Yongxing Island, northern South China Sea coral d18O Data 1851-2008 CE
#--------------------
# Investigators
#	Investigators: Han, Tao; Yu, Kefu; Yan, Hongqiang; Deng, Wenfeng; Liu, Yi; Xu, Shendong; Tao, Shichen; Zhang, Huiling; Wang, Shaopeng
#--------------------
# Description_Notes_and_Keywords
#	Description: 
#--------------------
# Publication 
#	Authors: Han, Tao, Kefu Yu, Hongqiang Yan, Wenfeng Deng, Yi Liu, Shendong Xu, Shichen Tao, Huiling Zhang, and Shaopeng Wang
#	Published_Date_or_Year:  2019   
#	Published_Title: Links Between the Coral d13C Record of Primary Productivity Variations in the Northern South China Sea and the East Asian Winter Monsoon
#	Journal_Name: Geophysical Research Letters
#	Volume: 46
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 10.1029/2019GL085030
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: To date, the decadal variability of the Global Monsoon (GM) has been mainly studied using instrumental data collected over the last 50 years, and further discussion has been hampered by the limited data length. Here, we present a coral d18O record from the northern South China Sea, where the hydrology is related to the seasonal Intertropical Convergence Zone (ITCZ) migration, and we use this record to reconstruct the decadal migration of the ITCZ since 1851 A.D. Combining our record with a synthesis of monsoon records reveals an anti-phase inter-hemispheric variability of the GM over the last 150 years, indicating that the decadal-scale hydrologic variability in the tropics is modulated by the meridional migration of the ITCZ. The plausible relationship observed between the decadal variability of the GM and the Atlantic Multidecadal Oscillation suggests that the decadal variability of tropical hydrological changes is likely linked to the climate perturbations in the North Atlantic.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: 
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: Yongxing Island
#	Location:  Pacific Ocean>Western Pacific>South China Sea
#	Country:  China
#	Northernmost_Latitude: 16.84
# 	Southernmost_Latitude:  16.84
# 	Easternmost_Longitude:  112.33
# 	Westernmost_Longitude:  112.33
# 	Elevation: 
#------------------
# Data_Collection   
#	Collection_Name:  Yongxing d18O Han2019
#	Earliest_Year:  1851
#	Most_Recent_Year:  2007
#	Time_Unit:  AD
#	Core_Length: 2 
#	Notes: 
#------------------
# Species 
#	Species_Name: 
#	Common_Name: 
#	Tree_Species_Code: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------	
# Variables 
#
# variables format:  shortname	what,material,error,units,seasonality,data_type,detail,method,data_format,additional_information) 
#
## age_calCE	age, , ,year Common Era, ,corals and sclerosponges,,,N,
## d18Ocarb_ivc	delta 18O, calcium carbonate,,per mil VPDB, ,corals and sclerosponges,corrected,isotope ratio mass spectrometry,N,corrected for ice volume	
#
#----------------
# Data:
# Missing_Values: NA
#
age_calAD	d18OcarbVPDB
1877.458329	-5.7355
1877.541662	-5.624
1877.624995	-5.7705
1877.708329	-5.816
1877.791662	-5.532
1877.874995	-5.178
1877.958329	-5.35
1878.041662	-4.927
1878.124995	-5.019
1878.208329	-5.006
1878.291662	-5.515
1878.374995	-5.623
1878.458329	-5.764
1878.541662	-5.5643
1878.624995	-5.4989
1878.708329	-5.4106
1878.791662	-5.279
1878.874995	-5.1316
1878.958329	-4.9976
1879.041662	-4.905
1879.124995	-5.1845
1879.208329	-5.435
1879.291662	-5.6487
1879.374995	-5.757
1879.458329	-5.6865
1879.541662	-5.695
1879.624995	-5.665
1879.708329	-5.656
1879.791662	-5.56
1879.874995	-5.291
1879.958329	-5.2395
1880.041662	-4.76
1880.124995	-5.089
1880.208329	-5.092
1880.291662	-5.3425
1880.374995	-5.867
1880.458329	-5.728
1880.541662	-5.453
1880.624996	-5.846
1880.708329	-5.645
1880.791662	-5.757
1880.874996	-5.624
1880.958329	-5.445
1881.041662	-4.951
1881.124996	-5.0884
1881.208329	-5.3916
1881.291662	-5.637
1881.374996	-5.7046
1881.458329	-5.931
1881.541662	-5.7024
1881.624996	-5.7309
1881.708329	-5.655
1881.791662	-5.4561
1881.874996	-5.3973
1881.958329	-5.2226
1882.041662	-4.998
1882.124996	-5.228
1882.208329	-5.427
1882.291662	-5.409
1882.374996	-5.581
1882.458329	-5.651
1882.541662	-5.5356
1882.624996	-5.4733
1882.708329	-5.6379
1882.791662	-5.5164
1882.874996	-5.6669
1882.958329	-5.5329
1883.041662	-5.022
1883.124996	-5.102
1883.208329	-5.381
1883.291662	-5.46
1883.374996	-5.576
1883.458329	-5.624
1883.541662	-5.595
1883.624996	-5.553
1883.708329	-5.4114
1883.791662	-5.2982
1883.874996	-5.2418
1883.958329	-5.2158
1884.041662	-5.205
1884.124996	-5.366
1884.208329	-5.575
1884.291662	-5.629
1884.374996	-5.801
1884.458329	-5.668
1884.541662	-5.714
1884.624996	-5.862
1884.708329	-5.4716
1884.791662	-5.4382
1884.874996	-5.4278
1884.958329	-5.193
1885.041662	-5.009
1885.124996	-5.351
1885.208329	-5.302
1885.291662	-5.61
1885.374996	-5.666
1885.458329	-5.705
1885.541662	-5.64
1885.624996	-5.715
1885.708329	-5.702
1885.791662	-5.483
1885.874996	-5.48
1885.958329	-5.222
1886.041662	-5.204
1886.124996	-5.308
1886.208329	-5.436
1886.291662	-5.63
1886.374996	-5.851
1886.458329	-5.8477
1886.541662	-5.841
1886.624996	-5.831
1886.708329	-5.8072
1886.791662	-5.5968
1886.874996	-5.3992
1886.958329	-4.9788
1887.041662	-4.856
1887.124996	-5.2237
1887.208329	-5.428
1887.291662	-5.4388
1887.374996	-5.703
1887.458329	-5.681
1887.541662	-5.672
1887.624996	-5.685
1887.708329	-5.658
1887.791662	-5.3405
1887.874996	-5.1955
1887.958329	-5.1735
1888.041662	-4.983
1888.124996	-5.0655
1888.208329	-5.414
1888.291663	-5.4303
1888.374996	-5.763
1888.458329	-5.735
1888.541663	-5.678
1888.624996	-5.708
1888.708329	-5.706
1888.791663	-5.494
1888.874996	-5.176
1888.958329	-5.224
1889.041663	-4.964
1889.124996	-5.14
1889.208329	-5.3686
1889.291663	-5.3454
1889.374996	-5.5016
1889.458329	-5.68
1889.541663	-5.6629
1889.624996	-5.5636
1889.708329	-5.437
1889.791663	-5.2463
1889.874996	-4.9894
1889.958329	-4.753
1890.041663	-4.693
1890.124996	-4.7498
1890.208329	-5.1444
1890.291663	-5.45
1890.374996	-5.5322
1890.458329	-5.549
1890.541663	-5.3534
1890.624996	-5.3409
1890.708329	-5.4274
1890.791663	-5.3284
1890.874996	-5.1459
1890.958329	-4.9461
1891.041663	-4.863
1891.124996	-5.0835
1891.208329	-5.2445
1891.291663	-5.414
1891.374996	-5.66
1891.458329	-5.5031
1891.541663	-5.5028
1891.624996	-5.6067
1891.708329	-5.506
1891.791663	-5.4149
1891.874996	-5.4122
1891.958329	-5.1399
1892.041663	-4.842
1892.124996	-5.0146
1892.208329	-5.1098
1892.291663	-5.4836
1892.374996	-5.5385
1892.458329	-5.5684
1892.541663	-5.6295
1892.624996	-5.4416
1892.708329	-5.444
1892.791663	-5.376
1892.874996	-5.3105
1892.958329	-5.231
1893.041663	-4.9975
1893.124996	-4.9009
1893.208329	-4.9672
1893.291663	-5.392
1893.374996	-5.666
1893.458329	-5.519
1893.541663	-5.6623
1893.624996	-5.6435
1893.708329	-5.4175
1893.791663	-5.4653
1893.874996	-5.202
1893.958329	-5.2344
1894.041663	-4.85
1894.124996	-4.9967
1894.208329	-4.8965
1894.291663	-5.238
1894.374996	-5.665
1894.458329	-5.5045
1894.541663	-5.528
1894.624996	-5.544
1894.708329	-5.59
1894.791663	-5.4918
1894.874996	-5.3995
1894.958329	-5.3267
1895.041663	-5.156
1895.124996	-5.2453
1895.208329	-5.377
1895.291663	-5.5555
