,lat,lon,elevation,species,d18o,d18o_anom,geometry,ocean_temp_anom,year
97,29.42,34.97,-4.5,Porites sp.,-2.82,-0.09648780487804842,POINT (34.97 29.42),0.0,1882
98,27.85,34.32,-6,Porites sp.,-3.376666666666667,0.028193877551020208,POINT (34.32 27.85),0.0,1882
99,-14.27,-169.55,,Porites sp.,-4.975271765166666,-0.2169569915317684,POINT (-169.55 -14.27),0.0,1882
100,-15.0,167.0,,Platygyra lamellina,-5.29,-0.3393678160919533,POINT (167 -15),0.0,1882
101,-16.82,179.23,-10,Porites sp.,-4.54,0.003454545454545155,POINT (179.23 -16.82),0.0,1882
102,-8.25,115.5,-3,Porites sp.,-5.180758333333333,-0.18050175438596483,POINT (115.5 -8.25),0.0,1882
103,15.94,166.04,8,Porites lutea,-4.965,-0.1558448795180718,POINT (166.04 15.94),0.0,1882
104,27.106,142.194,-5.6,Porites sp.,-4.18,0.1431967213114751,POINT (142.194 27.106),0.0,1882
105,-16.7167,146.0333,,Porites sp.,-5.77,-0.9032608695652167,POINT (146.0333 -16.7167),0.0,1882
106,-16.82,179.23,-10,Porites sp.,-4.89,0.044629629629630685,POINT (179.23 -16.82),0.0,1882
107,7.2859,134.2503,,Porites lutea,-5.520955041416666,0.048977445075617076,POINT (134.2503 7.2859),0.0,1882
108,1.5,124.83,-3,Porites sp.,-5.134991666666667,0.0025747137404579234,POINT (124.83 1.5),0.0,1882
109,13.598,144.836,-7.8,Porites lobata,-4.996666666666667,0.014441811479725786,POINT (144.836 13.598),0.0,1882
110,27.106,142.194,-5.6,Porites sp.,-4.175,0.1462818428184285,POINT (142.194 27.106),0.0,1882
111,-22.1,153.0,-10,Porites australiensis,-4.322,-0.10022205588822342,POINT (153 -22.1),0.0,1882
112,1.0,173.0,-6,,-4.066899,0.38543721842741974,POINT (173 1),0.0,1882
113,-0.4084,-91.234,-3,Pavona clavus,-3.84,0.18756906077348123,POINT (-91.23399999999999 -0.4084),0.0,1882
114,3.906228,-159.285932,,,-4.631666666666667,0.26352678571428534,POINT (-159.285932 3.906228),0.0,1882
115,-21.2378,-159.8278,,Porites lutea,-4.3902,-0.10068799999999989,POINT (-159.8278 -21.2378),0.0,1882
116,-21.2378,-159.8278,,Porites lutea,-4.390000000000001,-0.09756233595800534,POINT (-159.8278 -21.2378),0.0,1882
117,10.3,-109.216667,-2,Porites lobata,-5.1485393576666665,0.20708626771684902,POINT (-109.216667 10.3),0.0,1882
118,-17.5,-149.83,,Porites lutea,4.18375,0.0034081306383466625,POINT (-149.83 -17.5),0.0,1882
119,-17.5,-149.83,,Porites lutea,-4.18,-0.0005035971223019686,POINT (-149.83 -17.5),0.0,1882
120,7.983,-82.05,-3,Porites lobata,-5.798,0.007300586553735222,POINT (-82.05 7.983),0.0,1882
121,-21.2378,-159.8278,,Porites lutea,-4.35875,-0.10262915129151207,POINT (-159.8278 -21.2378),0.0,1882
122,16.84,112.33,,,-5.471416666666666,-0.050207542194092625,POINT (112.33 16.84),0.0,1882
123,32.0,-64.0,-16,Diploria labyrinthiformis,-3.673,-0.024672811059907485,POINT (-64 32),-0.04,1883
124,24.917,-80.757778,-5,Solenastrea bournoni,-1.89,0.7017283950617286,POINT (-80.757778 24.917),-0.04,1883
125,32.0,-64.0,-16,Diploria labyrinthiformis,-3.222,0.19607798165137602,POINT (-64 32),-0.04,1883
126,25.38,-80.17,-10,Montastraea faveolata,-3.71,-0.14847457627118654,POINT (-80.17 25.38),-0.04,1883
127,-23.15,43.58,-1.1,Porites lobata,-4.406666666666666,0.018916913946587677,POINT (43.58 -23.15),-0.04,1883
128,-23.15725,43.588183,-1.8,Porites sp.,-4.221,0.27419026548672587,POINT (43.588183 -23.15725),-0.04,1883
129,-28.4617,113.7683,-5,Porites lutea,-3.7808552526666666,0.09455148942333391,POINT (113.7683 -28.4617),-0.04,1883
130,-23.142967,43.583067,-1.1,Porites sp.,-4.401875083,0.02990648988955158,POINT (43.583067 -23.142967),-0.04,1883
131,-28.4617,113.7683,-5,Porites lutea,-3.788126673375,0.08710310566457968,POINT (113.7683 -28.4617),-0.04,1883
132,-12.65,45.1,,Porites solida,-4.8385,0.046259043927649124,POINT (45.1 -12.65),-0.04,1883
133,-4.616167,55.0,-7,Porites lutea,-4.4943333333333335,0.22332444444444377,POINT (55 -4.616167),-0.04,1883
134,-3.0,40.0,-6,Porites lutea,-4.348,0.04296907216494805,POINT (40 -3),-0.04,1883
135,-21.03,55.25,-12.3,Porites sp.,-4.165,0.11011585365853627,POINT (55.25 -21.03),-0.04,1883
