# South Pagai Islands and Sunda Strait 53 Year Coral Oxygen Isotope Data 
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/18895
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/taitaitanopo2015.txt
#
# Archive: Corals and Sclerosponges
#
# Parameter_Keywords: 
#---------------------------------------
# Contribution_Date
#    Date: 2015-06-19
#---------------------------------------
# Title
#    Study_Name: South Pagai Islands and Sunda Strait 53 Year Coral Oxygen Isotope Data 
#---------------------------------------
# Investigators
#      Investigators: Abram, N.; Dixon, B.; Rosevear, M.; Plunkett, B.; Gagan, M.; Hantoro, W.; Phipps, S.
#---------------------------------------
# Description and Notes
#        Description: Coral d18O data at monthly resolution South Pagai Islands and Sunda Strait, Indonesia. 
#         Provided Keywords: 
#---------------------------------------
# Publication
# Authors: Nerilie J. Abram, Bronwyn C. Dixon, Madelaine G. Rosevear, Benjamin Plunkett, Michael K. Gagan, Wahyoe S. Hantoro and Steven J. Phipps
# Published_Date_or_Year: 2015-10-02
# Published_Title: Optimised coral reconstructions of the Indian Ocean Dipole: An assessment of location and length considerations 
# Journal_Name: Paleoceanography
# Volume: 
# Issue: 
# Pages: 
# Report Number: 
# DOI: 10.1002/2015PA002810
# Online_Resource: http://onlinelibrary.wiley.com/doi/10.1002/2015PA002810/abstract
# Full_Citation: 
# Abstract: The Indian Ocean Dipole (IOD; or Indian Ocean Zonal Mode) is a coupled ocean-atmosphere climate oscillation that has profound impacts on rainfall distribution across the Indian Ocean region. Instrumental records provide a reliable representation of IOD behaviour since 1958, while coral reconstructions currently extend the IOD history back to 1846. Large fluctuations in the number and intensity of positive IOD events over time are evident in these records, but it is unclear to what extent this represents multidecadal modulation of the IOD or an anthropogenically-forced change in IOD behaviour. In this study we explore the suitability of coral records from single-site locations in the equatorial Indian Ocean for capturing information about the occurrence and magnitude of positive IOD (pIOD) events. We find that the optimum location for coral reconstructions of the IOD occurs in the southeastern equatorial Indian Ocean, along the coast of Java and Sumatra between ~3-7S. Here the strong ocean cooling and atmospheric drying during pIOD events are unambiguously recorded in coral oxygen isotope records, which capture up to 50% of IOD variance. Unforced experiments with coupled climate models suggest that potential biases in coral estimates of pIOD frequency are skewed towards overestimating pIOD recurrence intervals, and become larger with shorter reconstruction windows and longer pIOD recurrence times. Model output also supports the assumption of stationarity in sea surface temperature relationships in the optimum IOD location that is necessary for paleoclimate reconstructions. This study provides a targeted framework for the future generation of paleoclimate records, including optimised coral reconstructions of past IOD variability. 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Australian Research Council
#    Grant: DP110101161
#---------------------------------------
# Site Information
# Site_Name: Taitaitanopo Island
# Location: Ocean>Indian Ocean>Indonesia
# Country: Indonesia
# Northernmost_Latitude: -3.18333
# Southernmost_Latitude: -3.18333
# Easternmost_Longitude: 100.51666
# Westernmost_Longitude: 100.51666
# Elevation: -0.7m
#---------------------------------------
# Data_Collection
#   Collection_Name: Taitaitanopo2015TT01-A-1b
#   First_Year: 1959
#   Last_Year: 2001
#   Time_Unit: AD
#   Core_Length: 
#   Notes: Coral x-radiographs archived as supplementary online material that accompanies the manuscript published in Paleoceanography
#---------------------------------------
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_AD	age,,,years AD,,,,,N
## d18Oporites	delta 18O,Porites sp.,,per mil PDB,,,raw data interpolated to monthly values,analytical technique: isotope ratio mass spectrometry Thermo MAT-253,N
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: 
age_AD	d18Oporites
1997.208333	-5.742
1997.291667	-5.819
1997.375	-5.754
1997.458333	-5.612
1997.541667	-5.436
1997.625	-5.266
1997.708333	-5.094
1997.791667	-4.752
1997.875	-4.475
1997.958333	-4.675
1998.041667	-5.295
1998.125	-5.75
1998.208333	-5.848
1998.291667	-5.786
1998.375	-5.79
1998.458333	-5.859
1998.541667	-5.898
1998.625	-5.838
1998.708333	-5.622
1998.791667	-5.574
1998.875	-5.436
1998.958333	-5.411
1999.041667	-5.508
1999.125	-5.596
1999.208333	-5.631
1999.291667	-5.649
1999.375	-5.664
1999.458333	-5.692
1999.541667	-5.755
1999.625	-5.637
1999.708333	-5.601
1999.791667	-5.611
1999.875	-5.503
1999.958333	-5.628
2000.041667	-5.671
2000.125	-5.681
2000.208333	-5.679
2000.291667	-5.679
2000.375	-5.709
2000.458333	-5.471
2000.541667	-5.635
2000.625	-5.78
2000.708333	-5.826
2000.791667	-5.778
2000.875	-5.477
2000.958333	-5.527
2001.041667	-5.573
2001.125	-5.616
2001.208333	-5.696
2001.291667	-5.778
2001.375	-5.865
2001.458333	-6.031
2001.541667	-6.067

