# La Reunion Coral d18O and Sr/Ca Data during the 20th Century
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/28130
#      Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/pfeiffer2019/pfeiffer2019-reunion.txt
#      Description: NOAA location of the template
#
# Data_Type: Corals and Sclerosponges
#
# Dataset_DOI:
#
# Parameter_Keywords: trace metals, oxygen isotopes
#---------------------------------------
# Contribution_Date
#    Date: 2019-10-31
#---------------------------------------
# File_Last_Modified_Date
#    Date: 2019-10-31
#---------------------------------------
# Title
#    Study_Name: La Reunion Coral d18O and Sr/Ca Data during the 20th Century
#---------------------------------------
# Investigators
#      Investigators: Pfeiffer, Miriam
#---------------------------------------
# Description_Notes_and_Keywords
#        Description: Precision (1s)- Sr/Ca: 0.01 mmol/mole, d18O-porit: 0.06 per mil, d18O-porit_anom_err: 0.081 per mil.
#         Provided Keywords: corals, Sr/Ca, d18O, SST, d18O seawater, SSS, SW Indian Ocean
#---------------------------------------
# Publication
# Authors: Pfeiffer, Miriam
# Published_Date_or_Year: 2019
# Published_Title: 20th century d18O seawater and salinity variations reconstructed from paired d18O and Sr/Ca measurements of a La Reunion coral
# Journal_Name: Paleoceanography and Paleoclimatology
# Volume: 
# Edition: 
# Issue: 
# Pages: 
# Report_Number: 
# DOI: 10.1002/2019PA003770
# Online_Resource: 
# Full_Citation: 
# Abstract: Sea surface salinity (SSS) is an important variable in the global ocean circulation. However, decadal to interdecadal changes in SSS are not well understood due to the lack of instrumental data. Here, we reconstruct SSS from a paired, bimonthly resolved coral d18O and Sr/Ca record from La Reunion Island that extends from 1995-1913. Coral Sr/Ca correlates with regional sea surface temperature (SST) until 1966, when instrumental coverage is good, while coral d18O does not. The slope of the monthly (annual mean) coral Sr/Ca-SST regression is -0.040 mmol/mol per 1°C (-0.068 mmol/mol per 1°C) consistent with published estimates of the Sr/Ca-SST relationship. Coral Sr/Ca suggest a warming of 0.39°C since 1913. d18O seawater is calculated by subtracting the temperature component from measured coral d18O, using coral Sr/Ca as well as historical SST products. The derived d18O seawater reconstructions are correlated (r>0.6), and all show a significant shift in the mid-20th century (-0.17 to -0.19 permil), indicating a freshening of SSS by 0.7 psu. However, the timing of this shift depends on the temperature component and varies from 1947 (d18O seawater calculated with historical SST) to the late 1950s (d18O seawater calculated with coral Sr/Ca). Coral Sr/Ca shows warm temperature anomalies in the mid-1950s, while historical SST products show warm anomalies from 1940-45 followed by cooling in the 1950s, a pattern typical for the World War II bias. This suggests that historical SST may bias reconstructions of d18O seawater and SSS from corals. 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: German Science Foundation (DFG)
#    Grant: PF 676/2-1, PF 676/3-1
#---------------------------------------
# Site_Information
# Site_Name: St. Gilles Reef, Reunion
# Location: Reunion
# Country: France
# Northernmost_Latitude: -21
# Southernmost_Latitude: -21
# Easternmost_Longitude: 55
# Westernmost_Longitude: 55
# Elevation: -10
#---------------------------------------
# Data_Collection
#   Collection_Name: LaReunion Sr/Ca, d18O Pfeiffer2019
#   First_Year: 1912
#   Last_Year: 1995
#   Time_Unit: AD
#   Core_Length: 
#   Notes: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_CE_SrCa	age,,,year Common Era,,corals and sclerosponges,,,N,Age for Sr/Ca Data
## Sr/Ca-porit	strontium/calcium,Porites sp.,,millimole per mole,monthly,corals and sclerosponges,,inductively-coupled plasma atomic emission spectroscopy,N,
## age_CE_d180	age,,,year Common Era,,corals and sclerosponges,,,N,Age for d18O Data
## d18O-porit 	delta 18O,Porites sp.,,per mil VPDB,,corals and sclerosponges,,isotope ratio mass spectrometry,N,bimonthly
## d18O-porit-anom_err	delta 18O,Porites sp.,,per mil VPDB,,corals and sclerosponges,anomalized,isotope ratio mass spectrometry,N,bimonthly
#------------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values: NaN
age_CE_SrCa	Sr/Ca-porit	age_CE_d180	d18O-porit 	d18O-porit-anom_err	
1925.125	8.79662408	1937.625	-3.94	0.002853138	
1925.208333	8.78525691	1937.79167	-3.95999992	0.093403496	
1925.291667	8.76668626	1937.95833	-4.62000004	-0.200928408	
1925.375	8.80554157	1938.125	-4.63	0.069293191	
1925.458333	8.88100396	1938.29167	-4.61000008	-0.183172202	
1925.541667	8.94377634	1938.45833	-4.18999888	0.028934384	
1925.625	8.94456102	1938.625	-3.91	-0.021050749	
1925.708333	8.91464201	1938.79167	-4.23499935	-0.062114999	
1925.791667	8.88472301	1938.95833	-4.4800003	0.054571189	
1925.875	8.8256431	1939.125	-4.48	0.057219538	
1925.958333	8.78636707	1939.29167	-4.29333378	0.062058343	
1926.041667	8.74482494	1939.45833	-4.036666034	0.0121888	
1926.125	8.70327814	1939.625	-3.72	0.085624294	
1926.208333	8.68224097	1939.79167	-4.161665784	0.055607154	
1926.291667	8.71212998	1939.95833	-4.410000353	0.120487796	
1926.375	8.79662291	1940.125	-4.54	-0.062013616	
1926.458333	8.86486891	1940.29167	-4.490000367	0.042804705	
1926.541667	8.90292989	1940.45833	-4.283333266	0.17895215	
1926.625	8.94294523	1940.625	-4.25	-0.065651136	
1926.708333	8.89054764	1940.79167	-4.466666234	-0.014504037	
1926.791667	8.84939819	1940.95833	-4.663333643	0.102457297	
1926.875	8.79779175	1941.125	-4.745	0.021548801	
1926.958333	8.77532882	1941.29167	-4.623333836	0.028174755	
1927.041667	8.74595764	1941.45833	-4.313332766	-0.105600002	
1927.125	8.74369429	1941.625	-4.03	-0.021232032	
1927.208333	8.77473659	1941.79167	-4.76999852	-0.195443844	
1927.291667	8.77534516	1941.95833	-4.96999932	-0.329006684	
1927.375	8.78060544	1942.125	-4.63	0.198521901	
1927.458333	8.925326	1942.29167	-4.39000048	0.292712389	
1927.541667	8.96118451	1942.45833	-4.096665974	0.110244679	
1927.625	9.0266345	1942.625	-3.75	0.215896584	
1927.708333	8.94872167	1942.79167	-4.014999815	0.134319233	
1927.791667	8.86877996	1942.95833	-4.39666816	0.075810585	
1927.875	8.79619563	1943.125	-4.6	0.377244108	
1927.958333	8.76369461	1943.29167	-4.33666844	0.451728183	
1928.041667	8.77962525	1943.45833	-4.101666198	0.336623047	
1928.125	8.78024111	1943.625	-3.76	0.233873611	
1928.208333	8.79515788	1943.79167	-4.101665984	0.27847637	
1928.291667	8.78144444	1943.95833	-4.43666715	0.153553817	
1928.375	8.84934973	1944.125	-4.495	0.091942744	
1928.458333	8.9260209	1944.29167	-4.35333365	-0.100602358	
1928.541667	8.93479893	1944.45833	-4.193333066	-0.086363236	
1928.625	8.97451426	1944.625	-4.06	-0.082050456	
1928.708333	8.95077646	1944.79167	-4.39999864	0.046981039	
1928.791667	8.89027325	1944.95833	-4.65999888	-0.068320177	
1928.875	8.8283507	1945.125	-4.38	0.316988788	
1928.958333	8.78527329	1945.29167	-4.2300006	0.2335213	
1929.041667	8.76121383	1945.45833	-3.94999996	0.301329412	
1929.125	8.73124344	1945.625	-3.94	0.050940774	
1929.208333	8.69925924	1945.79167	-4.26499935	-0.071359699	
1929.291667	8.74153209	1945.95833	-4.490000347	0.087903541	
1929.375	8.82155016	1946.125	-4.61	0.207676051	
1929.458333	8.89059915	1946.29167	-4.503333893	0.003036839	
1929.541667	8.92497208	1946.45833	-4.151666084	-0.104835738	
1929.625	8.9631791	1946.625	-3.86	0.061712664	
1929.708333	8.91086457	1946.79167	-4.1599988	0.136186056	
1929.791667	8.85673766	1946.95833	-4.64000036	-0.131158983	
1929.875	8.82988793	1947.125	-4.73	-0.130627916	
1929.958333	8.82035264	1947.29167	-4.66000028	-0.275066098	
1930.041667	8.80865941	1947.45833	-4.24999928	-0.114065989	
1930.125	8.79536886	1947.625	-4.07	-0.167418842	
1930.208333	8.79375611	1947.79167	-4.1699998	0.176007817	
1930.291667	8.80614839	1947.95833	-4.42333383	0.06679171	
1930.375	8.83429906	1948.125	-4.585	0.053478774	
1930.458333	8.86859131	1948.29167	-4.50000049	0.139575241	
1930.541667	8.90965809	1948.45833	-4.14499905	0.096906741	
1930.625	8.99000189	1948.625	-3.67	0.525176918	
1930.708333	8.96082566	1948.79167	-4.128332416	0.612349213	
1930.791667	8.89367165	1948.95833	-4.366667054	0.622106841	
1930.875	8.82024477	1949.125	-4.58	-0.060186362	
1930.958333	8.77224961	1949.29167	-4.590000427	0.140108875	
1931.041667	8.78218165	1949.45833	-4.293332966	0.060334699	
1931.125	8.79771933	1949.625	-4.11	-0.133794109	
1931.208333	8.80304873	1949.79167	-4.193333537	0.097734873	
1931.291667	8.78235543	1949.95833	-4.58666704	0.020196472	
1931.375	8.77820629	1950.125	-4.71	0.013045431	
