# Mayotte Coral Coupled Sr/Ca and d18O Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/8424
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/mayotte2008.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2009-04-01
#--------------------
# Title
#	Study_Name: Mayotte Coral Coupled Sr/Ca and d18O Data
#--------------------
# Investigators
#       Investigators: Zinke, J.; Pfeiffer, M.; Timm, O.; Dullo, W.C.; Kroon, D.; Thomassin, B.A.
#--------------------
# Description_and_Notes
#	Description: Coupled Sr/Ca and d18O measurements from a Porites solida coral  at Mayotte (Comoro Archipelago), 12�39'S, 45�06'E, used as a proxy  for d18Oseawater and hydrological variability (P-E) in the western  tropical Indian Ocean.  
#--------------------
# Publication 
#       Authors: Zinke, J.; Pfeiffer, M.; Timm, O.; Dullo, W.C.; Kroon, D.; Thomassin, B.A.
#       Published_Date_or_Year: 2008-12-10     
#       Published_Title: Mayotte coral reveals hydrological changes in the western  Indian Ocean between 1881 and 1994.
#       Journal_Name: Geophys. Res. Lett.
#       Volume: 35
#       Edition: 
#       Issue: L23707
#       Pages: 
#       DOI: 10.1029/2008GL035634
#       Online_Resource: http://onlinelibrary.wiley.com/doi/10.1029/2008GL035634/abstract
#       Full_Citation: Zinke, J., M. Pfeiffer, O. Timm, W.-C. Dullo, D. Kroon,  and B. A. Thomassin. 2008.   Mayotte coral reveals hydrological changes in the western  Indian Ocean between 1881 and 1994.  Geophys. Res. Lett., 35, L23707, doi:10.1029/2008GL035634.
#       Abstract: We reconstruct the hydrologic history of the tropical western Indian Ocean by calculating the d18Oseawater from coupled coral Sr/Ca and d18O measurements in a massive Porites coral from Mayotte (Comoros) between 1881 and 1994. We found that the precipitation-evaporation balance varies naturally on time scales of 5-6 years and 18-25 years. High (low) SSTs are associated with positive (negative) d18Oseawater implying that atmospheric variability is linked with remote climate modes in the Indian Ocean and the tropical/extratropical Pacific Ocean. Warm El Nino-Southern Oscillation events are associated with a negative freshwater balance at Mayotte. This case study demonstrates that a much denser network of d18Oseawater reconstructions is crucial for understanding the spatial patterns of hydrological conditions.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: German Science Foundation (KIHZ)
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Nederlandse Organisatie voor Wetenschappelijk Onderzoek
#       Grant: 854.00.034
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Japan Agency for Marine-Earth Science and Technology (JAMSTEC) International Pacific Research Center
#       Grant:
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Deutsche Forschungsgemeinschaft
#       Grant: PF 676/1, Leibniz award
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Japan Agency for Marine-Earth Science and Technology (JAMSTEC)
#       Grant:
#------------------
# Site_Information 
#       Site_Name: Mayotte Island, Comoros Archipelago
#       Location: Ocean>Indian Ocean>Comoros
#	Country: France 
#	Northernmost_Latitude: -12.65
# 	Southernmost_Latitude: -12.65
# 	Easternmost_Longitude: 45.10
# 	Westernmost_Longitude: 45.10
# 	Elevation: -2 m
#------------------
# Data_Collection   
#	Collection_Name: 08como01a
#	Earliest_Year: 1881
#	Most_Recent_Year: 1994
#	Time_Unit: AD
#	Core_Length: 2.38 m
#	Notes:  
#------------------
# Species
#	Species_Name: Porites solida
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Porites solida, , permil VPDB, , Corals and Sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, Porites solida, ,mmol/mol, ,Corals and Sclerosponges, , ,N 
##d18O_sw	seawater delta 18O, , , permil VPDB, , Climate Reconstructions, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O	Sr/Ca	d18O_sw
1968.96	-5.090	8.914	0.047
1969.12	-5.280	8.806	0.201
1969.29	-4.930	8.743	0.748
1969.46	-5.060	8.927	0.035
1969.62	-4.860	8.976	0.080
1969.79	-4.987	8.839	0.388
1969.96	-5.120	8.790	0.409
1970.12	-5.170	8.776	0.406
1970.29	-5.220	8.801	0.277
1970.46	-5.067	8.954	-0.056
1970.62	-4.830	9.001	0.030
1970.79	-4.877	8.907	0.284
1970.96	-4.990	8.837	0.391
1971.12	-5.010	8.823	0.417
1971.29	-5.123	8.799	0.379
1971.46	-5.003	8.898	0.184
1971.62	-4.820	9.026	-0.040
1971.79	-4.855	8.923	0.253
1971.96	-5.020	8.801	0.475
1972.12	-5.150	8.808	0.322
1972.29	-5.090	8.822	0.339
1972.46	-5.150	8.960	-0.159
1972.62	-4.780	8.990	0.117
1972.79	-4.973	8.906	0.188
1972.96	-5.043	8.885	0.184
1973.12	-5.230	8.799	0.273
1973.29	-5.150	8.766	0.456
1973.46	-4.890	8.789	0.643
1973.62	-4.860	8.958	0.137
1973.79	-4.963	8.925	0.138
1973.96	-5.217	8.870	0.061
1974.12	-5.230	8.715	0.538
1974.29	-4.960	8.706	0.838
1974.46	-4.853	8.833	0.541
1974.62	-4.710	8.883	0.525
1974.79	-4.863	8.948	0.167
1974.96	-5.017	8.919	0.104
1975.12	-5.030	8.853	0.302
1975.29	-4.977	8.826	0.440
1975.46	-4.830	8.814	0.625
1975.62	-4.620	9.002	0.237
1975.79	-4.905	8.940	0.148
1975.96	-5.020	8.702	0.789
1976.12	-5.085	8.781	0.475
1976.29	-4.980	8.715	0.789
1976.46	-5.070	8.720	0.684
1976.62	-4.700	8.963	0.280
1976.79	-4.780	8.832	0.615
1976.96	-5.010	8.751	0.643
1977.12	-5.105	8.660	0.837
1977.29	-5.250	8.617	0.830
1977.46	-5.100	8.787	0.441
1977.62	-4.830	8.863	0.468
1977.79	-4.970	8.767	0.634
1977.96	-4.980	8.693	0.859
1978.12	-5.120	8.650	0.855
1978.29	-5.160	8.657	0.793
1978.46	-4.825	8.683	1.044
1978.62	-4.730	8.838	0.647
1978.79	-4.965	8.837	0.417
1978.96	-4.970	8.761	0.653
1979.12	-5.095	8.686	0.766
1979.29	-5.200	8.686	0.659
1979.46	-4.850	8.716	0.916
1979.62	-4.600	8.885	0.629
1979.79	-4.898	8.854	0.429
1979.96	-4.960	8.726	0.773
1980.12	-5.008	8.704	0.794
1980.29	-5.040	8.683	0.830
1980.46	-5.040	8.728	0.686
1980.62	-4.840	8.888	0.379
1980.79	-4.965	8.855	0.360
1980.96	-4.950	8.790	0.582
1981.12	-4.980	8.713	0.796
1981.29	-5.250	8.692	0.592
1981.46	-4.940	8.761	0.683
1981.62	-4.770	8.920	0.349
1981.79	-4.890	8.864	0.405
1981.96	-5.080	8.821	0.351
1982.12	-5.050	8.704	0.753
1982.29	-5.220	8.643	0.778
1982.46	-4.970	8.741	0.717
1982.62	-4.720	8.863	0.577
1982.79	-4.950	8.818	0.493
1982.96	-5.005	8.715	0.764
1983.12	-5.090	8.712	0.687
1983.29	-5.220	8.654	0.742
1983.46	-5.050	8.777	0.520
1983.62	-4.810	8.876	0.448
1983.79	-4.930	8.858	0.384
1983.96	-5.010	8.792	0.514
1984.12	-5.145	8.789	0.387
1984.29	-5.190	8.650	0.784
1984.46	-5.120	8.792	0.405
1984.62	-4.500	8.893	0.704
1984.79	-4.965	8.854	0.362
1984.96	-4.990	8.773	0.594
1985.12	-5.133	8.761	0.491
1985.29	-5.200	8.646	0.788
1985.46	-4.610	8.867	0.676
1985.62	-4.540	8.935	0.529
1985.79	-4.640	8.850	0.700
1985.96	-5.000	8.767	0.604
1986.12	-4.940	8.761	0.681
1986.29	-5.070	8.765	0.539
1986.46	-4.980	8.817	0.465
1986.62	-4.530	8.973	0.419
1986.79	-4.687	8.950	0.334
1986.96	-4.915	8.876	0.343
1987.12	-5.152	8.781	0.406
1987.29	-5.250	8.698	0.572
1987.46	-5.130	8.771	0.461
1987.62	-4.710	8.895	0.488
1987.79	-4.820	8.876	0.438
1987.96	-4.760	8.870	0.515
1988.12	-4.990	8.715	0.778
1988.29	-5.060	8.604	1.060
1988.46	-5.070	8.762	0.549
1988.62	-4.770	8.919	0.349
1988.79	-4.913	8.866	0.375
1988.96	-5.090	8.789	0.442
1989.12	-5.175	8.689	0.675
1989.29	-5.300	8.664	0.630
1989.46	-5.230	8.773	0.353
1989.62	-4.750	8.908	0.405
1989.79	-4.950	8.847	0.398
1989.96	-5.080	8.782	0.475
1990.12	-5.185	8.715	0.583
1990.29	-5.310	8.648	0.670
1990.46	-4.880	8.711	0.902
1990.62	-4.640	8.879	0.607
1990.79	-5.155	8.761	0.466
1990.96	-5.125	8.740	0.564
1991.12	-5.137	8.703	0.668
1991.29	-5.490	8.539	0.837
1991.46	-4.970	8.735	0.735
1991.62	-4.780	8.906	0.382
1991.79	-4.865	8.819	0.574
1991.96	-5.190	8.761	0.433
1992.12	-5.170	8.701	0.642
1992.29	-5.330	8.727	0.400
1992.46	-5.140	8.832	0.258
1992.62	-4.590	8.963	0.392
1992.79	-5.065	8.926	0.033
1992.96	-5.050	8.797	0.458
1993.12	-5.157	8.714	0.614
1993.29	-5.450	8.588	0.721
1993.46	-4.950	8.804	0.535
1993.62	-4.720	8.877	0.534
1993.79	NAN	8.840	NAN
1993.96	NAN	8.802	NAN
1994.12	NAN	8.701	NAN
1994.29	NAN	8.600	NAN
