# Mesoamerican Orbicella faveolata stable isotope records 1922-2006 AD
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/17378
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/caribbean/carilli2013/carilli2013-umf-6.txt
#
# Archive: Corals and Sclerosponges
#---------------------------------------
# Contribution_Date
#    Date: 2014-10-30
#---------------------------------------
# Title
#    Study_Name: Mesoamerican Orbicella faveolata stable isotope records 1922-2006 AD
#---------------------------------------
# Investigators
#      Investigators: Carilli, J.E.; Charles, C.D.; Garren, M.; McField, M.; Norris, R.D.
#---------------------------------------
# Description and Notes
#        Description: Errors: d18O Orbicella faveolata = 0.11 per mil, d13C 0.066 per mil.
#---------------------------------------
# Publication
# Authors: Carilli, J.E., C.D. Charles, M. Garren, M. McField, and R.D. Norris
# Published_Date_or_Year: 2013
# Published_Title: Baseline shifts in coral skeletal oxygen isotopic composition: a signature of symbiont shuffling? 
# Journal_Name: Coral Reefs
# Volume: 32
# Issue: 2
# Pages: 559-571
# Report Number: 
# DOI: 10.1007/s00338-012-1004-y
# Abstract: Decades-long records of the stable isotopic composition of coral skeletal cores were analyzed from four sites on the Mesoamerican Reef. Two of the sites exhibited baseline shifts in oxygen isotopic composition after known coral bleaching events. Changes in pH at the calcification site caused by a change in the associated symbiont community are invoked to explain the observed shift in the isotopic composition. To test the hypothesis that changes in symbiont clade could affect skeletal chemistry, additional coral samples were collected from Belize for paired Symbiodinium identification and skeletal stable isotopic analysis. We found some evidence that skeletal stable isotopic composition may be affected by symbiont clade and suggest this is an important topic for future investigation. If different Symbiodinium clades leave consistent signatures in skeletal geochemical composition, the signature will provide a method to quantify past symbiont shuffling events, important for understanding how corals are likely to respond to climate change.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Mia Tegner Memorial Grant
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: B. Katz private donor
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Anonymous donors
#    Grant: 
#---------------------------------------
# Site Information
# Site_Name: Diamond Caye, Utila
# Location: Caribbean
# Country: Honduras
# Northernmost_Latitude: 16.064444
# Southernmost_Latitude: 16.064444
# Easternmost_Longitude: -86.950833
# Westernmost_Longitude: -86.950833
# Elevation: -6
#---------------------------------------
# Data_Collection
#   Collection_Name: UMF-6 Isotopes Ca13
#   First_Year: 1940
#   Last_Year: 2006
#   Time_Unit: years AD
#   Core_Length: 
#   Notes: 
#---------------------------------------
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_AD  Age,,,years AD,,,,,N
## d18Oo.fave  delta 18O,Orbicella faveolata,,per mil VPDB,,corals and sclerosponges,,analytical technique: isotope ratio mass spectrometry,N
## d13Co.fave  delta 13C,Orbicella faveolata,,per mil VPDB,,corals and sclerosponges,,analytical technique: isotope ratio mass spectrometry,N
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: -999
age_AD	d18Oo.fave	d13Co.fave	
1968.53	-3.788	-0.469
1968.63	-3.699	0.241
1968.72	-3.6	0.27
1968.81	-4.164	-0.538
1968.90	-4.067	-1.281
1968.99	-4.241	-1.428
1969.08	-3.827	-0.835
1969.17	-3.714	-0.418
1969.27	-3.952	-0.842
1969.37	-3.938	-0.705
1969.57	-4.213	-0.713
1969.67	-3.978	-0.276
1969.77	-4.153	-0.534
1969.88	-4.314	-1.581
1969.98	-4.184	-1.713
1970.08	-4.159	-1.774
1970.17	-3.862	-1.625
1970.28	-3.981	-1.236
1970.39	-3.923	-0.815
1970.50	-4.001	-0.589
1970.61	-4.078	-0.635
1970.72	-4.117	-0.912
1970.84	-4.169	-1.03
1970.94	-4.251	-2.047
1971.06	-4.131	-1.915
1971.17	-3.877	-1.372
1971.26	-3.889	-1.496
1971.35	-3.905	-1.648
1971.44	-3.929	-1.482
1971.53	-4.012	-1.162
1971.62	-3.993	-0.883
1971.72	-4.085	-0.856
1971.81	-4.187	-1.193
1971.90	-4.25	-1.36
1971.99	-4.37	-1.7
1972.08	-4.232	-1.738
1972.17	-4.124	-1.39
1972.24	-4.091	-1.457
1972.31	-4.245	-1.364
1972.38	-4.187	-1.137
1972.45	-3.946	-0.452
1972.52	-4.564	-1.714
1972.60	-4.317	-1.189
1972.67	-4.181	-1.233
1972.74	-4.182	-0.723
1972.81	-4.494	-1.491
1972.88	-4.387	-1.646
1972.95	-4.294	-1.57
1973.02	-4.175	-2.061
1973.10	-4.04	-1.966
1973.17	-3.79	-1.15
1973.26	-4.025	-1.084
1973.35	-4.166	-1.005
1973.44	-4.115	-1.272
1973.53	-4.133	-1.446
1973.63	-4.32	-1.3191
1973.72	-4.067	-1.15
1973.81	-4.206	-0.774
1973.90	-4.215	-1.031
1973.99	-4.234	-1.787
1974.08	-4.182	-1.951
1974.17	-3.935	-1.658
1974.25	-3.917	-1.571
1974.33	-3.71	-0.356
1974.42	-3.849	-0.382
1974.50	-3.802	-0.197
1974.59	-3.989	-0.65
1974.67	-3.877	-0.616
1974.75	-4.133	-1.548
1974.84	-4.217	-2.027
1974.92	-4.043	-1.948
1975.00	-3.986	-1.453
1975.09	-3.955	-1.362
1975.17	-3.702	-0.847
1975.27	-3.667	-0.829
1975.37	-3.721	-0.489
1975.47	-3.758	-0.722
1975.57	-3.948	-0.86
1975.67	-3.983	-1.259
1975.77	-3.716	-0.245
1975.88	-3.948	-1.215
1975.97	-4.01	-1.321
1976.08	-4.035	-2.053
1976.17	-3.832	-1.422
1976.29	-3.822	-1.029
1976.42	-4.181	-1.308
1976.54	-3.881	-0.734
1976.67	-3.997	-0.225
1976.79	-4.175	-0.961
1976.92	-4.232	-1.452
1977.04	-3.999	-1.673
1977.17	-3.871	-1.478
1977.30	-4.076	-1.612
1977.44	-4.043	-1.507
1977.59	-4.204	-1.783
1977.88	-4.359	-1.47
1978.02	-4.439	-1.218
1978.17	-4.202	-0.984
1978.25	-4.364	-1.858
1978.42	-3.974	-1.689
1978.67	-3.868	-1.301
1978.75	-4.028	-1.232
1978.92	-4.069	-1.013
1979.01	-4.104	-0.987
1979.09	-3.971	-1.042
1979.17	-3.904	-1.207
1979.45	-4.053	-1.108
1979.85	-3.906	-0.612
1980.05	-3.861	-0.259
1980.17	-3.745	-0.69
1980.31	-999	-1.187
1980.45	-3.915	-0.98
1980.59	-4.144	-1.455
1980.74	-4.259	-1.064
1980.88	-4.044	-1.344
1981.03	-4.416	-1.382
1981.17	-4.267	-1.195
1981.34	-4.663	-1.383
1981.50	-4.255	-0.573
1981.67	-4.488	-1.38
1981.84	-4.347	-1.926
1982.01	-4.192	-1.647
1982.17	-3.981	-1.496
1982.26	-4.371	-1.73
1982.35	-4.445	-0.56
1982.44	-4.198	-1.333
1982.53	-3.989	-1.627
1982.62	-4.136	-1.112
1982.72	-4.135	-1.2
1982.99	-4.202	-1.518
1983.08	-4.092	-2.185
1983.17	-3.869	-1.351
1983.26	-3.903	-1.221
1983.35	-3.953	-1.197
1983.44	-3.943	-1.101
1983.53	-4.235	-1.216
1983.62	-3.798	-1.036
1983.72	-3.964	-1.111
1983.81	-4.125	-1.118
1983.90	-4.124	-1.119
1983.99	-4.223	-1.65
1984.08	-3.936	-1.937
1984.17	-3.841	-1.761
1984.28	-4.02	-1.496
1984.39	-4.059	-1.61
1984.50	-3.895	-1.03
1984.61	-3.952	-0.555
1984.72	-4.085	-0.865
1984.84	-4.003	-1.278
1984.95	-3.88	-1.518
1985.06	-3.856	-1.821
1985.17	-3.738	-0.67
1985.34	-3.974	-0.833
1985.50	-4.102	-1.202
1985.67	-4.207	-1.179
1985.84	-4.007	-1.717
1986.01	-3.874	-0.915
1986.17	-3.696	-1.62
1986.26	-3.718	-1.338
1986.35	-3.631	-1.338
1986.44	-3.829	-1.501
1986.53	-3.952	-1.024
1986.62	-3.806	-1.277
1986.72	-3.706	-0.51
1986.81	-3.857	-1.159
1986.99	-4.017	-1.423
1987.17	-3.744	-1.271
1987.29	-3.948	-0.781
1987.42	-3.95	-1.351
1987.54	-4.029	-0.139
1987.67	-3.853	-0.885
1987.79	-3.89	-1.421
1987.92	-3.997	-1.764
1988.04	-3.971	-1.611
1988.17	-3.807	-1.553
1988.31	-4.009	-1.259
1988.59	-4.177	-0.594
1988.74	-3.848	-0.693
1988.88	-3.918	-1.375
1989.03	-3.831	-1.329
1989.17	-3.719	-1.102
1989.28	-3.797	-1.185
1989.39	-3.744	-0.726
1989.50	-4.129	-0.717
1989.61	-3.85	-0.3
1989.72	-4.211	-1.522
1989.84	-4.035	-1.616
1989.95	-4.049	-0.931
1990.06	-3.974	-1.311
1990.17	-3.879	-1.258
1990.30	-4.15	-1.272
1990.44	-4.095	-0.614
1990.59	-3.973	-1.531
1990.73	-4.053	-1.631
1990.88	-3.964	-1.665
1991.02	-3.84	-1.201
1991.17	-3.808	-1.163
1991.29	-3.962	-1.03
1991.42	-4.247	-1.178
1991.54	-4.209	-1.055
1991.67	-4.28	-1.458
1991.79	-3.865	-1.814
1991.92	-3.977	-1.863
1992.04	-4.095	-1.985
1992.17	-4.081	-1.658
1992.45	-4.182	-1.37
1992.59	-3.836	-0.982
1992.74	-4.02	-0.775
1992.88	-4.072	-1.854
1993.03	-3.998	-1.792
1993.17	-4.118	-1.721
1993.45	-4.346	-1.546
1993.65	-4.534	-1.395
1993.85	-4.189	-1.255
1994.05	-4.002	-1.742
1994.17	-3.854	-1.784
1994.33	-4.016	-1.751
1994.50	-4.052	-1.869
1994.67	-3.708	-0.881
1994.84	-4.011	-1.607
1995.01	-3.926	-1.454
1995.17	-3.749	-1.053
1995.42	-3.68	-0.811
1995.67	-4.067	-1.974
1995.92	-3.69	-0.87
1996.17	-3.439	-0.293
1996.34	-3.553	-1.715
1996.67	-3.76	-0.891
1996.84	-3.549	-0.707
1997.01	-3.721	-1.413
1997.17	-3.501	-0.903
1997.34	-3.521	-0.128
1997.50	-3.611	0.147
1997.67	-3.411	-0.54
1997.84	-999	-2.412
1997.92	-4.106	-1.069
1998.01	-999	-1.893
1998.09	-999	-2.25
1998.17	-3.689	-0.135
1998.23	-4.164	-1.111
1998.30	-4.286	-1.909
1998.35	-4.088	-1.462
1998.41	-4.051	-0.976
1998.47	-3.951	-0.456
1998.53	-3.88	-0.409
1998.59	-4.137	-1.365
1998.92	-3.952	0.191
1999.17	-4.276	-0.934
2000.17	-3.575	-0.193
2000.50	-4.07	-2.019
2000.84	-4.511	-3.331
2001.17	-3.832	-0.983
2001.50	-4.162	-1.152
2001.84	-4.338	-1.299
2002.17	-3.827	-0.848
2002.50	-4.096	-2.215
2002.92	-4.044	-2.25
2003.17	-4.048	-3.867
2003.42	-4.084	-3.858
2003.67	-4.318	-3.224
2003.92	-4.25	-2.417
2004.17	-4.101	-1.628
2004.42	-3.744	-0.736
2004.67	-3.772	-0.74
2004.92	-3.932	-0.867
2005.17	-3.536	-0.544
2005.45	-4.173	-1.297
2005.62	-4.102	-2.111
2005.87	-3.927	-1.673
2006.05	-4.366	-2.471
2006.17	-3.731	-1.422
2006.33	-4.058	-1.353
2006.50	-3.916	-0.793
