# Houbihu, southern Taiwan Porites Sr/Ca and d18O data from 1788 to 2013
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/29412
#      Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/ramos2020/ramos2020-monthly.txt
#      Description: NOAA location of the template
#
# Data_Type: Corals and Sclerosponges
#
# Dataset_DOI:
#
# Parameter_Keywords: trace metals, oxygen isotopes
#---------------------------------------
# Contribution_Date
#    Date: 2020-04-08
#---------------------------------------
# File_Last_Modified_Date
#    Date: 2020-04-08
#---------------------------------------
# Title
#    Study_Name: Houbihu, southern Taiwan Porites Sr/Ca and d18O data from 1788 to 2013
#---------------------------------------
# Investigators
#      Investigators: Ramos, Riovie; Goodkin, Nathalie; Fan, Tung-Yung
#---------------------------------------
# Description_Notes_and_Keywords
#        Description: Monthly paired Porites Sr/Ca and d18O measurements
#---------------------------------------
# Publication
# Authors: Ramos, R.D., N.F. Goodkin, and T.-Y. Fan
# Published_Date_or_Year: 2020
# Published_Title: Coral records at the northern edge of the Western Pacific Warm Pool reveal multiple drivers of sea surface temperature, salinity, and rainfall variability since the end of the Little Ice Age
# Journal_Name: Paleoceanography and Paleoclimatology
# Volume: 
# Edition: 
# Issue: 
# Pages: 
# Report_Number: 
# DOI: 
# Online_Resource: 
# Full_Citation: 
# Abstract: Reconstructions of key climate parameters prior to anthropogenic influences serve to constrain decadal to multi-century natural climate variability. In the western Pacific region, relatively few reconstructions exist north of the Western Pacific Warm Pool (WPWP), a region critical to global climate. In this study, we collected a coral core from Houbihu, southern Taiwan and generated a 225-year reconstruction of annual and wintertime sea surface temperature (SST), dry season sea surface salinity (SSS) and wet season rainfall records derived from paired Porites Sr/Ca and d18O profiles extending back to the end of the Little Ice Age (LIA, 1850 CE). Multidecadal SST trends generally track regional surface temperature reconstructions, indicating the dominant influence of solar and volcanic radiative forcings. Reconstructed dry season SSS reflects an advection signal linked to the East Asian Winter Monsoon (EAWM) and the Pacific Decadal Oscillation (PDO), both influencing variations in the Kuroshio Intrusion (KI) across the Luzon Strait. Reconstructed wet season rainfall, on the other hand, reveals influence of the PDO on the decadal variability of local and regional rainfall patterns. Relative to the late 1900s, our climate reconstructions document cooler and drier (high salinity and low rainfall) conditions during the end of the LIA, supporting other lines of evidence of a retracted WPWP region during this period. In the late 20th to early 21st century, our climate reconstructions record warming and freshening (low salinity and high rainfall) trends, highlighting the potential impact of anthropogenic forcing in the extension of the WPWP.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: National Research Foundation Singapore
#    Grant: NRF-RF2012-03
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Ministry of Education, Singapore Academic Research Fund Tier 2
#    Grant: Project MOE2016-T2-1-016
#---------------------------------------
# Site_Information
# Site_Name: Houbihu, southern Taiwan
# Location: Taiwan
# Country: Taiwan
# Northernmost_Latitude: 21.9
# Southernmost_Latitude: 21.9
# Easternmost_Longitude: 120.7
# Westernmost_Longitude: 120.7
# Elevation: -6
#---------------------------------------
# Data_Collection
#   Collection_Name: HBH monthly Ramos2020
#   First_Year: 1788
#   Last_Year: 2013
#   Time_Unit: AD
#   Core_Length: 
#   Notes: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_AD	age,,,year Common Era,monthly,corals and sclerosponges,,,N,
## Sr/Ca-Porites	strontium/calcium,Porites sp.,,millimole per mole,,corals and sclerosponges,,inductively-coupled plasma atomic emission spectroscopy,N,
## d18O-Porites	delta 18O,Porites sp.,,per mil,,corals and sclerosponges,,isotope ratio mass spectrometry,N,
#------------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values: NaN
age_AD	Sr/Ca-Porites	d18O-Porites	
1812.38	8.8389	NaN	
1812.46	8.7721	NaN	
1812.54	8.7684	NaN	
1812.63	8.7732	NaN	
1812.71	8.7823	NaN	
1812.79	8.8863	NaN	
1812.88	8.9704	NaN	
1812.96	9.0677	NaN	
1813.04	9.1318	NaN	
1813.13	9.0984	NaN	
1813.21	9.0709	NaN	
1813.29	8.9768	NaN	
1813.38	8.8747	NaN	
1813.46	8.7529	NaN	
1813.54	8.7535	NaN	
1813.63	8.7769	NaN	
1813.71	8.7575	NaN	
1813.79	8.8066	NaN	
1813.88	8.9949	NaN	
1813.96	9.0371	NaN	
1814.04	9.0583	NaN	
1814.13	9.0485	NaN	
1814.21	9.0209	NaN	
1814.29	8.9782	NaN	
1814.38	8.8266	NaN	
1814.46	8.7503	NaN	
1814.54	8.7867	NaN	
1814.63	8.8234	NaN	
1814.71	8.8137	NaN	
1814.79	8.8587	NaN	
1814.88	8.9759	NaN	
1814.96	9.0871	NaN	
1815.04	9.1135	NaN	
1815.13	9.1102	NaN	
1815.21	9.0793	NaN	
1815.29	8.9902	NaN	
1815.38	8.8883	NaN	
1815.46	8.7912	NaN	
1815.54	8.7591	NaN	
1815.63	8.772	NaN	
1815.71	8.827	NaN	
1815.79	8.8666	NaN	
1815.88	8.9787	NaN	
1815.96	9.127	NaN	
1816.04	9.1686	NaN	
1816.13	9.1226	NaN	
1816.21	9.0674	NaN	
1816.29	8.9978	NaN	
1816.38	8.8774	NaN	
1816.46	8.882	NaN	
1816.54	8.7966	NaN	
1816.63	8.8046	NaN	
1816.71	8.8252	NaN	
1816.79	8.8876	NaN	
1816.88	8.9996	NaN	
1816.96	9.1071	NaN	
1817.04	9.1699	NaN	
1817.13	9.1433	NaN	
1817.21	9.0836	NaN	
1817.29	9.0244	NaN	
1817.38	8.8644	NaN	
1817.46	8.8247	NaN	
1817.54	8.8171	NaN	
1817.63	8.8296	NaN	
1817.71	8.8323	NaN	
1817.79	8.8971	NaN	
1817.88	9.0194	NaN	
1817.96	9.1147	NaN	
1818.04	9.1446	NaN	
1818.13	9.1192	NaN	
1818.21	9.0894	NaN	
1818.29	9.029	NaN	
1818.38	8.8684	NaN	
1818.46	8.8023	NaN	
1818.54	8.7948	NaN	
1818.63	8.7821	NaN	
1818.71	8.7757	NaN	
1818.79	8.786	NaN	
1818.88	8.9626	NaN	
1818.96	9.0473	NaN	
1819.04	9.1248	NaN	
1819.13	9.0846	NaN	
1819.21	9.0574	NaN	
1819.29	8.9795	NaN	
1819.38	8.8562	NaN	
1819.46	8.8335	NaN	
1819.54	8.7808	NaN	
1819.63	8.7662	NaN	
1819.71	8.7806	NaN	
1819.79	8.8324	NaN	
1819.88	8.9723	NaN	
1819.96	9.1313	NaN	
1820.04	9.1827	NaN	
1820.13	9.167	NaN	
1820.21	9.1451	NaN	
1820.29	8.9504	NaN	
1820.38	8.8774	NaN	
1820.46	8.8887	NaN	
1820.54	8.8588	NaN	
1820.63	8.86	NaN	
1820.71	8.8649	NaN	
1820.79	8.8524	NaN	
1820.88	8.942	NaN	
1820.96	9.0486	NaN	
1821.04	9.0861	NaN	
1821.13	9.0604	NaN	
1821.21	9.0346	NaN	
1821.29	9.0031	NaN	
1821.38	8.833	NaN	
1821.46	8.8224	NaN	
1821.54	8.8222	NaN	
1821.63	8.8224	NaN	
1821.71	8.8482	NaN	
1821.79	8.8588	NaN	
1821.88	8.9636	NaN	
1821.96	9.1148	NaN	
1822.04	9.1619	NaN	
1822.13	9.1345	NaN	
1822.21	9.1029	NaN	
1822.29	9.0067	NaN	
1822.38	8.8374	NaN	
1822.46	8.8332	NaN	
1822.54	8.856	NaN	
1822.63	8.8294	NaN	
1822.71	8.8713	NaN	
1822.79	8.8571	NaN	
1822.88	9.0183	NaN	
1822.96	9.1788	NaN	
1823.04	9.2309	NaN	
1823.13	9.1851	NaN	
1823.21	9.1292	NaN	
1823.29	9.0285	NaN	
1823.38	8.9174	NaN	
1823.46	8.9319	NaN	
1823.54	8.8462	NaN	
1823.63	8.8956	NaN	
1823.71	8.882	NaN	
1823.79	8.8952	NaN	
1823.88	8.9851	NaN	
1823.96	9.0683	NaN	
1824.04	9.1299	NaN	
1824.13	9.1221	NaN	
1824.21	9.0925	NaN	
1824.29	9.0461	NaN	
1824.38	8.852	NaN	
1824.46	8.8175	NaN	
