Year	Ifaty4_SrCa	Ifaty4_d18O	Zimbabwe_rainfall_recon	Kalahari_precip	Eastern_Cape_precip	Lesotho_precip	Mayotte	Ifaty1_SrCa	Ifaty1_d18O
1777	8.795178	-4.5887912	NA	NA	NA	NA	NA	NA	NA
1778	8.837178	-4.8394505	NA	NA	NA	NA	NA	NA	NA
1779	8.880178	-4.8595604	NA	NA	NA	NA	NA	NA	NA
1780	8.923178	-4.6238251	NA	NA	NA	NA	NA	NA	NA
1781	8.831178	-4.6021978	NA	NA	NA	NA	NA	NA	NA
1782	8.785178	-4.6765934	NA	NA	NA	NA	NA	NA	NA
1783	8.832178	-4.8997253	NA	NA	NA	NA	NA	NA	NA
1784	8.950178	-4.7185246	NA	NA	NA	NA	NA	NA	NA
1785	8.880179	-4.4458242	NA	NA	NA	NA	NA	NA	NA
1786	8.901179	-4.6490659	NA	NA	NA	NA	NA	NA	NA
1787	8.927179	-4.5960989	NA	NA	NA	NA	NA	NA	NA
1788	8.924179	-4.5946995	NA	NA	NA	NA	NA	NA	NA
1789	8.806179	-4.6030769	NA	NA	NA	NA	NA	NA	NA
1790	8.828179	-4.6947802	NA	NA	NA	NA	NA	NA	NA
1791	8.85918	-4.7449451	NA	NA	NA	NA	NA	NA	NA
1792	8.88818	-4.7700546	NA	NA	NA	NA	NA	NA	NA
1793	8.88518	-4.7342857	NA	NA	NA	NA	NA	NA	NA
1794	8.86918	-4.6396703	NA	NA	NA	NA	NA	NA	NA
1795	8.96118	-4.7804396	NA	NA	NA	NA	NA	NA	NA
1796	8.85218	-4.6072131	521.5	NA	NA	NA	NA	NA	NA
1797	8.88818	-4.669011	626.39	NA	NA	NA	NA	NA	NA
1798	8.84818	-4.8707143	355.02	NA	NA	NA	NA	NA	NA
1799	8.92518	-4.8181868	508.77	NA	NA	NA	NA	NA	NA
1800	8.90818	-4.7295604	491.94	NA	NA	NA	NA	NA	NA
1801	8.90618	-4.7614286	569.12	NA	NA	NA	NA	NA	NA
1802	8.87618	-4.6575275	523.14	NA	NA	NA	NA	NA	NA
1803	8.87318	-4.5563187	693.93	NA	NA	NA	NA	NA	NA
1804	8.90718	-4.6986885	399.36	NA	NA	NA	NA	NA	NA
1805	8.83418	-4.6072527	505.89	NA	NA	NA	NA	NA	NA
1806	8.89518	-4.7421978	509.38	NA	NA	NA	NA	NA	NA
1807	8.84718	-4.6187363	509.59	NA	NA	NA	NA	NA	NA
1808	8.835181	-4.5368852	511.64	NA	NA	NA	NA	NA	NA
1809	8.823181	-4.8462637	508.15	NA	NA	NA	NA	NA	NA
1810	8.832181	-4.8431868	525.6	NA	NA	NA	NA	NA	NA
1811	8.872181	-4.8001099	459.5	NA	NA	NA	NA	NA	NA
1812	8.857181	-4.7314754	432.82	NA	NA	NA	NA	NA	NA
1813	8.884181	-4.6857143	588.62	NA	NA	NA	NA	NA	NA
1814	8.894182	-4.6015385	522.32	NA	NA	NA	NA	NA	NA
1815	8.849182	-4.6900549	394.84	NA	NA	NA	NA	NA	NA
1816	8.923182	-4.6149727	458.48	0	NA	NA	NA	NA	NA
1817	8.894182	-4.6846154	450.88	2	NA	NA	NA	NA	NA
1818	8.900182	-4.6931868	604.63	1	NA	NA	NA	NA	NA
1819	8.895182	-4.5585165	553.72	0	NA	NA	NA	NA	NA
1820	8.848182	-4.8595082	419.68	1	NA	NA	NA	NA	NA
1821	8.989182	-4.6559341	505.89	-1	0	NA	NA	NA	NA
1822	8.851182	-4.7564835	436.92	-1	0	NA	NA	NA	NA
1823	8.946182	-4.5325824	493.17	-1	2	NA	NA	NA	NA
1824	8.898183	-4.8790164	464.43	-1	0	NA	NA	NA	NA
1825	8.846183	-4.6297802	546.33	-1	-1	0	NA	NA	NA
1826	8.873183	-4.653022	582.67	-2	0	NA	NA	NA	NA
1827	8.813183	-4.7716484	510.62	-1	-1	1	NA	NA	NA
1828	8.858183	-4.6784699	554.96	-1	-1	NA	NA	NA	NA
1829	8.890183	-4.5553846	661.08	0	-1	NA	NA	NA	NA
1830	8.851183	-4.5922527	686.13	2	-1	1	NA	NA	NA
1831	8.880183	-4.643956	411.88	0	1	NA	NA	NA	NA
1832	8.826183	-4.6945902	614.9	-1	2	-1	NA	NA	NA
1833	8.845183	-4.6147253	664.98	-2	-2	1	NA	NA	NA
1834	8.878184	-4.5858242	543.05	-2	-2	-2	NA	NA	NA
1835	8.928184	-4.6706593	597.45	0	0	1	NA	NA	NA
1836	8.877184	-4.5345902	656.16	-1	0	2	NA	NA	NA
1837	8.877184	-4.5673626	443.9	0	-2	0	NA	NA	NA
1838	8.902184	-4.5271978	605.66	1	-2	-1	NA	NA	NA
1839	8.833184	-4.641978	411.26	-1	-2	2	NA	NA	NA
1840	8.856184	-4.68	531.96	0	1	0	NA	NA	NA
1841	8.887184	-4.7631868	435.28	1	-1	2	NA	NA	NA
1842	8.847184	-4.5432418	417.83	0	-1	-2	NA	NA	NA
1843	8.826184	-4.7262637	462.38	0	0	-1	NA	NA	NA
1844	8.821184	-4.711694	514.93	1	2	1	NA	NA	NA
1845	8.821185	-4.750989	463.2	-1	2	0	NA	NA	NA
1846	8.917185	-4.4624176	455.6	0	-1	-1	NA	NA	NA
1847	8.896185	-4.527033	455.81	-1	1	-1	NA	NA	NA
1848	8.879185	-4.4796175	601.96	0	2	2	NA	NA	NA
1849	8.847185	-4.6576923	544.28	-1	-1	-1	NA	NA	NA
1850	8.877185	-4.6082418	472.02	-1	0	-1	NA	NA	NA
1851	8.879185	-4.5771429	492.55	-2	-1	-2	NA	NA	NA
1852	8.926185	-4.5538251	552.7	0	1	0	NA	NA	NA
1853	8.906185	-4.5265934	558.65	0	1	-1	NA	NA	NA
1854	8.892186	-4.5200549	561.93	1	0	0	NA	NA	NA
1855	8.822186	-4.6028571	514.93	1	0	2	NA	NA	NA
1856	8.781186	-4.8777596	365.69	0	2	1	NA	NA	NA
1857	8.856186	-4.7592308	508.15	0	2	0	NA	NA	NA
1858	8.860186	-4.7421429	538.74	-1	-1	0	NA	NA	NA
1859	8.845186	-4.7786813	492.14	-1	-2	-1	NA	NA	NA
1860	8.855186	-4.7876503	394.43	-1	0	0	NA	NA	NA
1861	8.933186	-4.7102198	472.23	0	-2	-1	NA	NA	NA
1862	8.886186	-4.516978	441.23	-1	-2	-1	NA	NA	NA
1863	8.894186	-4.6520879	505.89	-2	2	-2	NA	NA	NA
1864	8.877187	-4.6851913	432.82	1	1	2	NA	NA	NA
1865	8.953187	-4.5843956	411.67	-1	-2	2	NA	NA	NA
1866	8.808187	-4.7891209	480.85	-1	-1	-1	NA	NA	NA
1867	8.866187	-4.6821978	468.53	0	1	0	-4.8185714	NA	NA
1868	8.868187	-4.6831148	440.62	0	0	-1	-4.7041758	NA	NA
1869	8.854187	-4.5746154	510.62	0	-1	-1	-4.8823443	NA	NA
1870	8.863187	-4.7325824	453.96	-1	1	0	-4.9100769	NA	NA
1871	8.799187	-4.8935165	568.3	1	0	1	-4.7904396	NA	NA
1872	8.878187	-4.7096175	477.57	-1	0	0	-4.8697253	NA	NA
1873	8.945187	-4.6904396	569.12	-1	-1	-1	-4.7813661	NA	NA
1874	8.871187	-4.8906593	546.74	-2	0	1	-4.8504615	NA	NA
1875	8.861188	-4.7082418	449.85	2	2	1	-4.8045055	NA	NA
1876	8.827188	-4.7508743	461.97	0	0	0	-4.7574011	NA	NA
1877	8.863188	-4.4895604	476.54	-1	-2	-1	-4.8023224	NA	NA
1878	8.836188	-4.7545055	522.93	-1	-2	-2	-4.898044	NA	NA
1879	8.867188	-4.663022	512.05	-2	1	-1	-4.9027473	NA	NA
1880	8.779188	-4.7598907	531.96	-2	0	-1	-4.9291209	NA	NA
1881	8.844188	-4.6379121	588.83	1	-1	2	-4.9940437	8.604188	NA
1882	8.841188	-4.6415934	412.9	2	-1	0	-4.9774725	8.744188	NA
1883	8.878188	-4.709011	489.47	-1	-1	-1	-4.9410879	8.569188	-4.477188
1884	8.864188	-4.6852459	475.1	-2	-1	-2	-4.9903901	8.654189	-4.221188
1885	8.900189	-4.7812088	404.9	-2	-1	-2	-4.9391585	8.709189	-4.426189
1886	8.896189	-4.7148352	467.1	-1	2	2	-4.8559011	8.600189	-4.488189
1887	8.872189	-4.8518132	458.27	1	1	0	-4.8678022	8.640189	-4.421189
1888	8.917189	-4.8065574	455.19	1	0	1	-4.8689451	8.681189	-4.470189
1889	8.823189	-4.6094505	511.23	-1	NA	0	-4.8356284	8.694189	-4.567189
1890	8.875189	-4.6059341	555.16	0	1	-1	-4.9538462	8.75319	-4.467189
1891	8.84219	-4.8465934	510.41	2	1	2	-4.9905165	8.66319	-4.656189
1892	8.80819	-4.6620219	438.36	1	-1	1	-5.0137363	8.66319	-4.534189
1893	8.85619	-4.7386813	439.8	0	0	1	-4.9454699	8.68419	-4.739189
1894	8.82619	-4.8892857	558.65	1	-1	1	-4.9251648	8.71819	-4.489189
1895	8.83919	-4.5894505	415.98	0	-2	0	-4.9295055	8.75219	-4.51619
1896	8.83519	-4.4919126	457.45	-1	-2	-1	-4.8238022	8.67819	-4.32519
1897	8.83019	-4.6153846	573.02	-2	-1	-1	-4.8064481	8.76319	-4.39119
1898	8.84019	-4.8008791	642.61	-2	-1	-1	-4.962	8.80819	-4.55119
1899	8.92019	-4.384011	611.41	1	-1	-1	-4.9524725	8.77819	-4.40719
1900	8.80219	-4.3692308	648.97	1	2	0	-4.7789725	8.74019	-4.41519
1901	8.87519	-4.5903846	625.98	1	-2	0	-4.8731593	8.75119	-4.50119
1902	8.86019	-4.5386264	521.5	1	-2	-1	-4.9065769	8.78519	-4.51319
1903	8.93319	-4.3950549	363.02	1	0	-2	-4.8718956	8.75619	-4.38819
1904	8.87519	-4.8250273	528.89	-1	0	-2	-4.9235165	8.79319	-4.34019
1905	8.93219	-4.5004396	534.63	-2	1	1	-5.0403825	8.79019	-4.37819
1906	8.82819	-4.5951648	468.12	0	1	-1	-5.0042308	8.77519	-4.323191
1907	8.92919	-4.7073626	448.83	1	1	-1	-4.8357253	8.808191	-4.608191
1908	8.931191	-4.6289617	668.47	1	2	-1	-4.9419945	8.793191	-4.334191
1909	8.831191	-4.7724176	628.85	-1	0	0	-5.0028962	8.774191	-4.426191
1910	8.936191	-4.5375275	411.47	-2	-1	1	-4.8121648	8.745191	-4.367191
1911	8.891191	-4.4693407	661.7	-2	2	0	-4.7904396	8.744191	-4.321191
1912	8.811191	-4.4810929	448.21	-2	0	-2	-4.9221429	8.723191	-4.466191
1913	8.856191	-4.5328571	382.11	0	-1	-2	-4.9225683	8.659192	-4.439191
1914	8.876191	-4.5248352	456.22	-1	-1	-2	-4.8622527	8.793192	-4.375191
1915	8.861192	-4.4202198	662.52	-1	0	-1	-5.0333516	8.759192	-4.603192
1916	8.844192	-4.5411475	576.3	-1	0	-2	-4.9567857	8.755192	-4.181192
