# Clarion Island, Revillagigedos Archipelago, Mexico Porites d18O Data from 1819-1998
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/21310
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/sanchez2016/sanchez2016-clarion.txt
#
# Archive: Corals and Sclerosponges
#
# Parameter_Keywords: 
#---------------------------------------
# Contribution_Date
#    Date: 2017-01-31
#---------------------------------------
# Title
#    Study_Name: Clarion Island, Revillagigedos Archipelago, Mexico Porites d18O Data from 1819-1998
#---------------------------------------
# Investigators
#      Investigators: Sanchez, Sara C.; Charles, Chris D.; Carriquiry, Jose D.; Villaescusa, Julio A.
#---------------------------------------
# Description and Notes
#        Description: Modern eastern tropical north Pacific coral. Measurement precision of d18O: 0.07 per mil PDB. Basis of d18O climate relation: SST and d18O of seawater (~salinity).
#         Provided Keywords: d18O, decadal variability, NPGO
#---------------------------------------
# Publication
# Authors: Sanchez, S.C., C.D. Charles, J.D. Carriquiry, and J.A. Villaescusa
# Published_Date_or_Year: 2016
# Published_Title: Two centuries of coherent decadal climate variability across the Pacific North American region 
# Journal_Name: Geophysical Research Letters
# Volume: 43
# Edition: 
# Issue: 17
# Pages:  9208–9216
# Report Number: 
# DOI: 10.1002/2016GL069037
# Online_Resource: 
# Full_Citation: 
# Abstract: The decadal variability of the Pacific Ocean and North American hydroclimate are subjects of immediate concern for society, yet the length of the instrumental record limits full mechanistic understanding of this variability. Here we introduce a 178?year, seasonally resolved coral oxygen isotopic record from Clarion Island (18°N, 115°W), a region that is strongly influenced by the decadal-scale fluctuations of the North Pacific Gyre Oscillation (NPGO) and a subtropical region that serves as a critical locus for the communication of climate anomalies with the tropics. This Mexican Pacific coral record is highly correlated to coral records from the central tropical Pacific and tree ring records from western North America. Significant changes in the amplitude of oceanic decadal variability in the early 19thcentury are mirrored in the drought reconstructions in western North America. The spatial manifestation of this relationship was relatively invariant, despite notable changes in the climatic mean state.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: 
#    Grant: 
#---------------------------------------
# Site Information
# Site_Name: Clarion Island, Revillagigedos Archipelago
# Location: Mexico
# Country: Mexico
# Northernmost_Latitude: 18.4
# Southernmost_Latitude: 18.4
# Easternmost_Longitude: -114.7
# Westernmost_Longitude: -114.7
# Elevation: -8
#---------------------------------------
# Data_Collection
#   Collection_Name: Clarion Coral d18O Sanchez16
#   First_Year: 1819
#   Last_Year: 1998
#   Time_Unit: AD
#   Core_Length: 
#   Notes: 
#---------------------------------------
# Species
#   Species_Name:
#   Common_Name: 
#   Tree_Species_Code: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_AD	age,,,years AD,,,,,N
## d18Oporites	delta 18O,Porites sp.,,per mil PDB,fitted to seasonal resolution,Coral and Sclerosponge,,analytical technique: isotope ratio mass spectrometry,MAT253,isotope ratio mass spectrometry,MAT254,N
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: NA
age_AD	d18Oporites	
1887.772941	-3.84596	
1888.023025	-3.73695	
1888.273109	-3.55121	
1888.523193	-4.3123	
1888.773277	-3.83971	
1889.023361	-3.81824	
1889.273445	-3.98825	
1889.523529	-4.30494	
1889.773613	-4.13745	
1890.023697	-3.83048	
1890.273782	-4.35632	
1890.523866	-4.25899	
1890.77395	-3.78818	
1891.024034	-3.96695	
1891.274118	-4.06269	
1891.524202	-4.75205	
1891.774286	-4.13355	
1892.02437	-3.84324	
1892.274454	-4.09749	
1892.524538	-4.41174	
1892.774622	-3.96167	
1893.024706	-3.48722	
1893.27479	-3.66701	
1893.524874	-3.89214	
1893.774958	-3.72186	
1894.025042	-3.71435	
1894.275126	-3.87132	
1894.52521	-3.9082	
1894.775294	-3.76937	
1895.025378	-3.70194	
1895.275462	-3.96845	
1895.525546	-4.12246	
1895.77563	-3.94464	
1896.025714	-4.14516	
1896.275798	-4.23358	
1896.525882	-4.29501	
1896.775966	-3.7532	
1897.02605	-3.98288	
1897.276134	-4.06035	
1897.526218	-4.38405	
1897.776303	-4.22733	
1898.026387	-3.97748	
1898.276471	-4.10266	
1898.526555	-4.19501	
1898.776639	-3.80192	
1899.026723	-3.75565	
1899.276807	-4.03153	
1899.526891	-4.60475	
1899.776975	-4.34742	
1900.027059	-4.07884	
1900.277143	-4.09308	
1900.527227	-4.06985	
1900.777311	-3.79228	
1901.027395	-3.79581	
1901.277479	-3.95217	
1901.527563	-4.28681	
1901.777647	-3.65045	
1902.027731	-3.47251	
1902.277815	-3.95827	
1902.527899	-4.05748	
1902.777983	-3.92467	
1903.028067	-4.09916	
1903.278151	-4.2125	
1903.528235	-4.11184	
1903.778319	-3.92807	
1904.028403	-3.4911	
1904.278487	-3.98749	
1904.528571	-4.30947	
1904.778655	-4.23828	
1905.028739	-4.25451	
1905.278824	-4.55392	
1905.528908	-4.49295	
1905.778992	-4.12497	
1906.029076	-4.30699	
1906.27916	-4.45278	
1906.529244	-4.51132	
1906.779328	-4.1828	
1907.029412	-3.89862	
1907.279496	-4.02749	
1907.52958	-4.34435	
1907.779664	-4.14769	
1908.029748	-4.0307	
1908.279832	-3.79213	
1908.529916	-3.78652	
1908.78	-4.024	
1909.030084	-3.93671	
1909.280168	-4.05105	
1909.530252	-4.08171	
1909.780336	-3.71781	
1910.03042	-3.48257	
1910.280504	-3.74038	
1910.530588	-4.0186	
1910.780672	-3.95087	
1911.030756	-3.89311	
1911.28084	-4.20485	
1911.530924	-4.36002	
1911.781008	-4.0451	
1912.031092	-3.78438	
1912.281176	-3.92358	
1912.531261	-4.03504	
1912.781345	-3.81799	
1913.031429	-3.68993	
1913.281513	-3.91803	
1913.531597	-4.03366	
1913.781681	-3.85042	
1914.031765	-4.03476	
1914.281849	-4.10809	
1914.531933	-4.06494	
1914.782017	-3.75736	
1915.032101	-3.88111	
1915.282185	-3.98436	
1915.532269	-4.00031	
1915.782353	-3.86932	
1916.032437	-3.89044	
1916.282521	-4.13368	
1916.532605	-4.23521	
1916.782689	-3.98016	
1917.032773	-3.84033	
1917.282857	-3.86122	
1917.532941	-4.01666	
1917.783025	-3.79675	
1918.033109	-3.904	
1918.283193	-4.24552	
1918.533277	-4.08291	
1918.783361	-3.92997	
1919.033445	-4.1321	
1919.283529	-4.43074	
1919.533613	-4.35338	
1919.783697	-4.26984	
1920.033782	-3.93702	
1920.283866	-4.34969	
1920.53395	-4.40477	
1920.784034	-4.01832	
1921.034118	-3.8956	
1921.284202	-3.8125	
1921.534286	-4.42985	
1921.78437	-3.99825	
1922.034454	-3.68317	
1922.284538	-3.87588	
1922.534622	-3.85801	
1922.784706	-3.51008	
1923.03479	-3.36495	
1923.284874	-3.49224	
1923.534958	-3.54203	
1923.785042	-3.34143	
1924.035126	-3.44877	
1924.28521	-4.07281	
1924.535294	-4.17086	
1924.785378	-3.78015	
1925.035462	-3.76587	
1925.285546	-3.917	
1925.53563	-4.2876	
1925.785714	-4.13796	
1926.035798	-4.13419	
1926.285882	-4.29949	
1926.535966	-4.25287	
1926.78605	-4.00189	
1927.036134	-3.61721	
1927.286218	-4.17829	
1927.536303	-4.3312	
1927.786387	-4.13647	
1928.036471	-4.07242	
1928.286555	-4.16596	
1928.536639	-4.13352	
1928.786723	-3.88701	
1929.036807	-3.91418	
1929.286891	-4.54241	
1929.536975	-5.09553	
1929.787059	-4.58896	
1930.037143	-4.25901	
1930.287227	-4.27844	
1930.537311	-4.42283	
1930.787395	-4.48856	
1931.037479	-4.38859	
1931.287563	-4.53671	
1931.537647	-4.64667	
1931.787731	-4.43915	
1932.037815	-3.98074	
1932.287899	-4.08548	
1932.537983	-4.53479	
1932.788067	-4.6478	
1933.038151	-4.50022	
1933.288235	-4.37735	
1933.538319	-4.52424	
1933.788403	-4.13222	
1934.038487	-4.42698	
1934.288571	-4.48853	
1934.538655	-4.54743	
1934.788739	-4.37741	
1935.038824	-4.24778	
1935.288908	-4.72488	
1935.538992	-4.80336	
1935.789076	-4.56568	
1936.03916	-4.40389	
1936.289244	-4.3774	
1936.539328	-4.6239	
1936.789412	-4.13818	
1937.039496	-4.21336	
1937.28958	-4.58041	
1937.539664	-4.90719	
1937.789748	-4.8859	
1938.039832	-4.15267	
1938.289916	-4.43804	
1938.54	-4.6662	
1938.790084	-4.47933	
1939.040168	-4.61	
1939.290252	-5.1336	
1939.540336	-4.83889	
1939.79042	-3.86692	
1940.040504	-3.95538	
1940.290588	-4.54867	
1940.540672	-4.66352	
1940.790756	-4.32558	
1941.04084	-4.18299	
1941.290924	-4.20074	
1941.541008	-4.35242	
1941.791092	-4.21681	
1942.041176	-4.0789	
1942.291261	-4.14188	
1942.541345	-4.18497	
1942.791429	-4.09035	
1943.041513	-4.11911	
1943.291597	-4.27197	
1943.541681	-4.26168	
1943.791765	-3.95237	
1944.041849	-3.84116	
1944.291933	-4.34264	
1944.542017	-4.24401	
1944.792101	-4.08868	
1945.042185	-3.93721	
1945.292269	-4.05689	
1945.542353	-4.17959	
1945.792437	-3.9072	
1946.042521	-3.8814	
1946.292605	-4.09704	
1946.542689	-4.30294	
1946.792773	-4.00621	
1947.042857	-3.69743	
1947.292941	-4.09071	
1947.543025	-4.60685	
1947.793109	-4.09899	
1948.043193	-4.18933	
1948.293277	-4.49838	
1948.543361	-4.81797	
1948.793445	-4.20515	
1949.043529	-3.84507	
1949.293613	-4.15897	
1949.543697	-4.4216	
1949.793782	-3.9825	
1950.043866	-3.71713	
1950.29395	-3.98957	
1950.544034	-4.34177	
1950.794118	-4.24977	
1951.044202	-4.20045	
1951.294286	-4.42807	
1951.54437	-4.60499	
1951.794454	-4.36139	
1952.044538	-4.23494	
1952.294622	-4.50604	
1952.544706	-4.52469	
1952.79479	-4.14168	
1953.044874	-4.14089	
1953.294958	-4.3102	
1953.545042	-4.24917	
1953.795126	-3.70659	
1954.04521	-3.69502	
1954.295294	-4.00009	
1954.545378	-4.14195	
1954.795462	-4.14148	
1955.045546	-4.03981	
1955.29563	-3.85614	
1955.545714	-4.03823	
1955.795798	-3.95396	
1956.045882	-4.10832	
1956.295966	-4.36598	
1956.54605	-4.35433	
1956.796134	-4.15553	
1957.046218	-3.93406	
1957.296303	-4.17219	
1957.546387	-4.06683	
1957.796471	-3.55869	
1958.046555	-3.78724	
1958.296639	-4.27124	
1958.546723	-4.26591	
1958.796807	-3.87022	
1959.046891	-3.65834	
1959.296975	-3.86708	
1959.547059	-3.92129	
1959.797143	-3.8174	
1960.047227	-3.96259	
1960.297311	-4.15521	
1960.547395	-4.19182	
1960.797479	-4.0086	
1961.047563	-3.89314	
1961.297647	-4.00132	
1961.547731	-4.1173	
1961.797815	-4.09251	
1962.047899	-4.06154	
1962.297983	-4.09632	
1962.548067	-4.03384	
1962.798151	-3.8426	
1963.048235	-3.83655	
1963.298319	-4.07805	
1963.548403	-4.14119	
1963.798487	-4.08281	
1964.048571	-3.989	
1964.298655	-4.14436	
1964.548739	-4.32777	
1964.798824	-4.18916	
1965.048908	-4.24377	
1965.298992	-4.4463	
1965.549076	-4.42826	
1965.79916	-4.16816	
1966.049244	-4.20702	
1966.299328	-4.34582	
1966.549412	-4.32069	
1966.799496	-4.20925	
1967.04958	-4.17953	
1967.299664	-4.32873	
1967.549748	-4.43182	
1967.799832	-4.27648	
1968.049916	-4.24054	
1968.3	-4.40093	
1968.550084	-4.5309	
1968.800168	-4.305	
1969.050252	-4.03711	
1969.300336	-4.09678	
1969.55042	-4.17974	
1969.800504	-3.97787	
1970.050588	-3.99199	
1970.300672	-4.14992	
1970.550756	-4.18376	
1970.80084	-4.07052	
1971.050924	-4.01827	
1971.301008	-4.04886	
1971.551092	-4.02961	
1971.801176	-3.88977	
1972.051261	-3.85037	
1972.301345	-3.98941	
1972.551429	-4.00406	
1972.801513	-3.84028	
1973.051597	-3.86567	
1973.301681	-3.96206	
1973.551765	-3.92236	
1973.801849	-3.78467	
1974.051933	-3.76281	
1974.302017	-3.92296	
1974.552101	-4.03746	
1974.802185	-3.89493	
1975.052269	-3.79878	
1975.302353	-3.97486	
1975.552437	-4.19461	
1975.802521	-4.06103	
1976.052605	-3.78416	
1976.302689	-3.77692	
1976.552773	-3.99145	
1976.802857	-3.91072	
1977.052941	-3.70423	
1977.303025	-3.9893	
1977.553109	-4.12626	
1977.803193	-4.0061	
1978.053277	-3.97263	
1978.303361	-4.10575	
1978.553445	-4.12827	
1978.803529	-3.76118	
1979.053613	-3.51152	
1979.303697	-3.9832	
1979.553782	-4.30668	
1979.803866	-4.14329	
1980.05395	-4.21957	
1980.304034	-3.98862	
1980.554118	-4.27624	
1980.804202	-4.2224	
1981.054286	-4.13528	
1981.30437	-4.37399	
1981.554454	-4.40965	
1981.804538	-4.28943	
1982.054622	-4.19109	
1982.304706	-4.38203	
1982.55479	-4.42888	
1982.804874	-4.23071	
1983.054958	-4.19244	
1983.305042	-4.4793	
1983.555126	-4.77699	
1983.80521	-4.4767	
1984.055294	-4.1862	
1984.305378	-4.31001	
1984.555462	-4.40768	
1984.805546	-4.30568	
1985.05563	-4.26519	
1985.305714	-4.20499	
1985.555798	-4.2936	
1985.805882	-4.28566	
1986.055966	-4.19611	
